,nwc,evtoinvestedcapital,adj_close
0,0.01,0.01,0.04690534815789072
1,0.01,0.01,0.03330937342285165
2,0.01,0.01,0.1077125422484592
3,0.28803035986349673,0.3055642121135964,0.16153057947298394
4,0.2918808331508848,0.3740102203233644,0.2237141939529264
5,0.34158113074288776,0.464535477925777,0.0707938886934712
6,0.3351262803165678,0.5813353438887493,0.3698135715050392
7,0.3911945755539723,0.6711736617240514,0.361799746126906
8,0.43340261450312856,0.6696556923850214,0.4150060409561534
9,0.4146484452678461,0.7392711736617241,0.31503204000795265
10,0.515012865062323,0.7648755968836392,0.4795601572177956
11,0.5673573473178457,0.6812130351009467,0.3841130499946473
12,0.5999428219144035,0.5465460333417107,0.3534035817517243
13,0.4339683638677228,0.5056111250733015,0.5377521525685534
14,0.4745515320405283,0.5422568484543856,0.4557022038019791
15,0.4491048735200238,0.5974298399932981,0.5542753146649946
16,0.5115677047525549,0.6691362989025719,0.7132916328933885
17,0.5634320841357778,0.8175655524838737,0.3968525853762981
18,0.6798027476803649,0.9046963223590518,0.8046400660681787
19,0.7847667459976522,0.9119008125994807,0.9179347576735436
20,0.7344898424434401,1.0000000000000002,0.9453408169819691
21,0.740421163607001,0.8975454469297145,0.7672320185969688
22,0.853538466733015,0.8990969255256765,0.8237264288008319
23,0.8784374702182832,0.7635821395660553,1.0
24,1.0000000000000002,0.8669984083102958,0.6323428204383135
25,0.645008558613504,0.5500209432855827,0.8933885940630399
26,0.12397872588326235,0.5370964228868226,0.5144447673084864
27,0.13411396290100489,0.4455223255424312,0.5461636105036171
28,0.2284686527713693,0.4731138477004273,0.4755379509688471
29,0.29021012340682695,0.4163290609030745,0.6187621392631564
30,0.431418269716865,0.4948814610036023,0.5348463761909861
31,0.4779074269921302,0.43400519393482456,0.3692630033492896
32,0.4011319812374004,0.32749937170143256,0.3259516417636533
