,weightedavebasicdilutedsharesos,weightedavebasicsharesos,otherspecialcharges
0,1.0,1.0,0.06748270356572639
1,0.75,0.787285085965614,0.01
2,0.75,0.7804878048780495,0.07748802554550283
3,0.875,0.8988404638144747,0.4408728046833422
4,0.625,0.6765293882447025,0.8242682277807344
5,0.6666666666666661,0.70891643342663,0.8346993081426289
6,0.7083333333333339,0.7305077968812483,0.9744544970729112
7,0.01,0.01,1.0
