year,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos,adj_close
2009,3.99,3.99,61308000.0,3.95,5956000.0,77380000.0,126845000.0,126845000.0,126845000.0,851099000.0,1518417000.0,520000.0,114218000.0,8401000.0,273730000.0,851099000.0,667318000.0,463613000.0,203705000.0,520000.0,204225000.0,1518417000.0,31800000.0,31766000.0,32102000.0,88.16
2010,5.73,5.73,68921000.0,5.64,6296000.0,110080000.0,178981000.0,178981000.0,178981000.0,1014680000.0,1835922000.0,1230000.0,128933000.0,7767000.0,321494000.0,1014680000.0,821242000.0,533411000.0,287831000.0,1230000.0,289061000.0,1835922000.0,31200000.0,31234000.0,31735000.0,212.66
2011,6.89,6.89,74938000.0,6.76,5806000.0,134760000.0,214945000.0,214945000.0,214945000.0,1281839000.0,2269548000.0,-857000.0,147274000.0,8495000.0,400634000.0,1281839000.0,987709000.0,637147000.0,350562000.0,-857000.0,349705000.0,2269548000.0,31200000.0,31217000.0,31775000.0,337.74
2012,8.82,8.82,84130000.0,8.75,5027000.0,179685000.0,278000000.0,278000000.0,278000000.0,1532839000.0,2731224000.0,1820000.0,171435000.0,11909000.0,470019000.0,1532839000.0,1198385000.0,742520000.0,455865000.0,1820000.0,457685000.0,2731224000.0,31500000.0,31513000.0,31783000.0,297.46
2013,10.58,10.58,96054000.0,10.47,6751000.0,207033000.0,327438000.0,327438000.0,327438000.0,1813314000.0,3214591000.0,1751000.0,199107000.0,15511000.0,551134000.0,1813314000.0,1401277000.0,868557000.0,532720000.0,1751000.0,534471000.0,3214591000.0,30900000.0,30957000.0,31281000.0,532.78
2014,14.35,14.35,110474000.0,14.13,6976000.0,268929000.0,445374000.0,445374000.0,445374000.0,2325401000.0,4108269000.0,3503000.0,230868000.0,15609000.0,708141000.0,2325401000.0,1782868000.0,1072068000.0,710800000.0,3503000.0,714303000.0,4108269000.0,31000000.0,31038000.0,31512000.0,684.51
2015,15.3,15.3,130368000.0,15.1,13194000.0,294265000.0,475602000.0,475602000.0,475602000.0,2549561000.0,4501223000.0,6278000.0,262412000.0,16922000.0,765177000.0,2549561000.0,1951662000.0,1188073000.0,763589000.0,6278000.0,769867000.0,4501223000.0,31100000.0,31092000.0,31494000.0,479.85
2016,0.78,0.78,146368000.0,0.77,23877000.0,15801000.0,22938000.0,22938000.0,22938000.0,2470581000.0,3904384000.0,4172000.0,293636000.0,17162000.0,918193000.0,2470581000.0,1433803000.0,1399236000.0,34567000.0,4172000.0,38739000.0,3904384000.0,29400000.0,29265000.0,29770000.0,377.32
