entity,best,da,worst,da2
BJ,3,PERSON,6.0,ORG
Bjs,2,PERSON,0.0,0
Efraim,2,PERSON,0.0,0
Eugene,2,PERSON,0.0,0
Debbie,2,PERSON,0.0,0
Katrina,1,PERSON,0.0,0
Rochelle,1,GPE,0.0,0
Norm,1,PERSON,0.0,0
Cheers,1,ORG,0.0,0
Billy,1,ORG,0.0,0
