,purchaseofinvestments,repaymentofdebt,netincome
0,0.9106140457350276,1.0,0.2295455348779669
1,0.7765351143643848,1.0,0.3447214711132319
2,0.6723986899474339,0.4202898347686069,0.4241711291377269
3,0.6183899086722541,1.0,0.5634687096831204
4,0.30701036161432804,1.0,0.6726843751656858
5,0.06859120585105094,0.6811593873836044,0.9332219924712368
6,0.01,0.01,1.0
7,1.0,1.0,0.01
