entity,worst,da,best,da2
BJ,6,ORG,3.0,PERSON
BOH,2,ORG,0.0,0
Matt,2,PERSON,0.0,0
SPOON,1,PERSON,0.0,0
Pizookie,1,PERSON,0.0,0
the,1,ORG,0.0,0
FOH,1,ORG,0.0,0
Lucky,1,ORG,0.0,0
ALEXIS,1,PERSON,0.0,0
AN,1,GPE,0.0,0
