,commontocap,invturnover,dpo
0,0.01,0.01,0.01
1,0.01,0.01,0.01
2,0.01,0.01,0.01
3,1.0,0.01,0.01
4,1.0,0.01,0.01
5,1.0,0.9837744716332341,0.9090398174324741
6,1.0,0.9628989022650688,0.8582249054804321
7,1.0,0.9024910933936066,0.7391089614768895
8,1.0,0.9359206709069234,0.68673149630437
9,1.0,0.9643115555034903,0.9123522599543584
10,1.0,1.0,0.7586132020845398
11,1.0,0.9466058421825148,0.690869920637624
12,1.0,0.959631194139901,0.7292142102932662
13,1.0,0.9504220732236748,0.9538386866037672
14,1.0,0.9681608633034036,0.813204639122586
15,1.0,0.9411743627555698,0.7348513232739535
16,0.91839797979798,0.9564792546703696,0.7611507544534897
17,0.8559444444444445,0.9131555916949772,1.0
18,0.9019919191919192,0.9617164081396392,0.917499744541708
19,0.8153343434343436,0.9292212490611024,0.9289059572873736
20,0.8300212121212123,0.9068903023077932,0.9175338056473314
21,0.7565484848484849,0.8869574205640965,0.9626903164276712
22,0.7595101010101011,0.8948048815783127,0.9419172996355464
23,0.7774444444444445,0.8910231054941875,0.9376554037944074
24,0.7357828282828284,0.8701172157638319,0.9287782281412856
25,0.6464979797979798,0.8749161021796207,0.8351144453148951
26,0.5800959595959597,0.864611313629692,0.8496925985217478
27,0.6030373737373738,0.8674311073134092,0.7263190163152696
28,0.5538040404040405,0.8936279002460085,0.7004496065942302
