,close,date
0,100.0,2012-01-03
1,100.4791654708167,2012-01-04
2,100.28579648468674,2012-01-05
3,99.75446237691787,2012-01-06
4,99.17635237462417,2012-01-09
5,100.3413923178998,2012-01-10
6,100.71484348413519,2012-01-11
7,100.8535029551315,2012-01-12
8,100.68442114223052,2012-01-13
9,101.11777816612988,2012-01-17
10,102.93296746400706,2012-01-18
11,103.24846169380655,2012-01-19
12,103.49440605959774,2012-01-20
13,103.58088141000233,2012-01-23
14,101.46549019719504,2012-01-24
15,102.60630369150309,2012-01-25
16,102.92415945850782,2012-01-26
17,103.57917674532317,2012-01-27
18,102.78940446521894,2012-01-30
19,103.15679074262911,2012-01-31
20,105.33171324519348,2012-02-01
21,105.25268652385657,2012-02-02
22,107.47700196091382,2012-02-03
23,107.91673164869486,2012-02-06
24,108.97698160453523,2012-02-07
25,108.63620159696235,2012-02-08
26,108.61317608326031,2012-02-09
27,108.18767700116919,2012-02-10
28,108.34438998049494,2012-02-13
29,107.27753552617776,2012-02-14
30,107.97763568558892,2012-02-15
31,108.57866429673356,2012-02-16
32,108.71612917716098,2012-02-17
33,108.19250181158965,2012-02-21
34,106.54845514065961,2012-02-22
35,107.81324202127503,2012-02-23
36,106.62950557672407,2012-02-24
37,107.7143488393444,2012-02-27
38,109.11467554842653,2012-02-28
39,109.14666475488315,2012-02-29
40,108.96814384216927,2012-03-01
41,108.57258633064679,2012-03-02
42,108.64629452784115,2012-03-05
43,106.80903824336251,2012-03-06
44,108.2594130747332,2012-03-07
45,108.04161348064049,2012-03-08
46,108.14368773078414,2012-03-09
47,107.91011526314325,2012-03-12
48,108.96512009982769,2012-03-13
49,109.57516396304113,2012-03-14
50,111.18212448950857,2012-03-15
51,110.97998989236203,2012-03-16
52,111.2369109197438,2012-03-19
53,110.63232103498326,2012-03-20
54,110.9135046043435,2012-03-21
55,109.17232359451137,2012-03-22
56,108.99235325244163,2012-03-23
57,112.08179431762764,2012-03-26
58,110.40800672211975,2012-03-27
59,109.68190577840484,2012-03-28
60,109.54661115523872,2012-03-29
61,108.5024282358624,2012-03-30
62,108.9231864428647,2012-04-02
63,108.77245184989033,2012-04-03
64,107.21255600213907,2012-04-04
65,108.0536497817013,2012-04-05
66,107.01123627025528,2012-04-09
67,105.43641170543539,2012-04-10
68,107.21820059078127,2012-04-11
69,107.90682671544243,2012-04-12
70,107.94905417912048,2012-04-13
71,107.14945411305474,2012-04-16
72,107.8854407121853,2012-04-17
73,107.8324368363711,2012-04-18
74,106.32525466295183,2012-04-19
75,105.84281997994285,2012-04-20
76,107.79066197677489,2012-04-23
77,108.09898295643583,2012-04-24
78,110.13199368829939,2012-04-25
79,109.8204843498665,2012-04-26
80,110.45025149771135,2012-04-27
81,110.44246527038064,2012-04-30
82,112.04813906919877,2012-05-01
83,112.25292612668028,2012-05-02
84,110.99923214110723,2012-05-03
85,109.49881997078563,2012-05-04
86,109.52287622638804,2012-05-07
87,108.25726137724396,2012-05-08
88,108.2926712197182,2012-05-09
89,109.2663614587292,2012-05-10
90,109.6141590205172,2012-05-11
91,108.66647773878066,2012-05-14
92,109.95234470753815,2012-05-15
93,110.3822977433575,2012-05-16
94,109.70151643135003,2012-05-17
95,108.88511022013974,2012-05-18
96,110.36810694767192,2012-05-21
97,110.54945473140175,2012-05-22
98,112.35184408918373,2012-05-23
99,112.74530940550846,2012-05-24
100,113.43756031073558,2012-05-25
101,115.9683235599185,2012-05-29
102,114.43465773225658,2012-05-30
103,115.67049579669468,2012-05-31
104,111.88608244282577,2012-06-01
105,111.79975971510146,2012-06-04
106,112.37978114854717,2012-06-05
107,114.8585456579255,2012-06-06
108,114.64880648568453,2012-06-07
109,114.74518133074943,2012-06-08
110,114.55212056810531,2012-06-11
111,115.16539214588697,2012-06-12
112,113.08542600042202,2012-06-13
113,114.89065695665514,2012-06-14
114,116.34450258051368,2012-06-15
115,117.12407300418239,2012-06-18
116,118.20241467718651,2012-06-19
117,118.02165552128471,2012-06-20
118,117.26145041616384,2012-06-21
119,117.26093542042649,2012-06-22
120,116.66241321295854,2012-06-25
121,117.91298449142687,2012-06-26
122,116.48877820545852,2012-06-27
123,116.50409435792785,2012-06-28
124,118.25698998529046,2012-06-29
125,121.10836383579465,2012-07-02
126,121.04297114934235,2012-07-03
127,120.73621933104661,2012-07-05
128,120.76219899710424,2012-07-06
129,120.75857981080935,2012-07-09
130,121.4005849662179,2012-07-10
131,118.40087629177826,2012-07-11
132,118.91594574422125,2012-07-12
133,121.1974761628947,2012-07-13
134,120.02890449021261,2012-07-16
135,120.88790993876174,2012-07-17
136,122.30949651961262,2012-07-18
137,123.04396269077861,2012-07-19
138,115.97184582469293,2012-07-20
139,113.08882546572268,2012-07-23
140,111.27791076904013,2012-07-24
141,111.40019986715696,2012-07-25
142,112.094142785116,2012-07-26
143,114.58149028441316,2012-07-27
144,113.85764045426927,2012-07-30
145,112.87316510682986,2012-07-31
146,110.19522693133979,2012-08-01
147,110.9359382463863,2012-08-02
148,114.49518561613858,2012-08-03
149,113.3906050025382,2012-08-06
150,113.1183699442893,2012-08-07
151,113.28390734705859,2012-08-08
152,114.2116745097598,2012-08-09
153,113.07509954097169,2012-08-10
154,113.7083667667424,2012-08-13
155,113.79425607090796,2012-08-14
156,113.7026207181978,2012-08-15
157,114.14533761554836,2012-08-16
158,116.08461139312166,2012-08-17
159,116.00799569281625,2012-08-20
160,116.73441121049241,2012-08-21
161,115.82009825871356,2012-08-22
162,114.30187404814409,2012-08-23
163,115.16858224578965,2012-08-24
164,115.42127739381998,2012-08-27
165,115.7431267081481,2012-08-28
166,116.37351270067438,2012-08-29
167,115.97823390009563,2012-08-30
168,115.44459311189355,2012-08-31
169,117.2551221408883,2012-09-04
170,117.15944588729884,2012-09-05
171,118.76368881653318,2012-09-06
172,120.77232007154447,2012-09-07
173,121.47140875024934,2012-09-10
174,121.19273229176653,2012-09-11
175,122.20102340136702,2012-09-12
176,122.4154856134617,2012-09-13
177,122.15650873688577,2012-09-14
178,122.73815166166209,2012-09-17
179,122.66078885491652,2012-09-18
180,122.41879889330957,2012-09-19
181,121.70554103170882,2012-09-20
182,122.7442638521502,2012-09-21
183,123.08132316163284,2012-09-24
184,121.77690663933824,2012-09-25
185,121.36227495083357,2012-09-26
186,121.4736696754072,2012-09-27
187,120.10390081443306,2012-09-28
188,120.47722326759103,2012-10-01
189,118.35584448915398,2012-10-02
190,118.15348389889738,2012-10-03
191,118.46013138237353,2012-10-04
192,116.46216408937985,2012-10-05
193,118.10976715263422,2012-10-08
194,116.54969879447894,2012-10-09
195,116.9076794921662,2012-10-10
196,116.04242493541352,2012-10-11
197,115.71742552593018,2012-10-12
198,115.764510135595,2012-10-15
199,116.5523700156857,2012-10-16
200,118.60989665624156,2012-10-17
201,118.30062059903398,2012-10-18
202,112.2776639534392,2012-10-19
203,112.27423603553073,2012-10-22
204,111.82984328173177,2012-10-23
205,109.57824253499471,2012-10-24
206,111.03809045480756,2012-10-25
207,111.28882376511235,2012-10-26
208,110.89011403394306,2012-10-31
209,112.25023681886368,2012-11-01
210,111.6679830356081,2012-11-02
211,112.78959156436866,2012-11-05
212,114.77402751868121,2012-11-06
213,112.44285266163186,2012-11-07
214,110.2579385186587,2012-11-08
215,110.07236557144624,2012-11-09
216,110.14252469276389,2012-11-12
217,109.85425207603625,2012-11-13
218,107.87273325832119,2012-11-14
219,107.55575072346625,2012-11-15
220,108.10666112490344,2012-11-16
221,110.23485934703959,2012-11-19
222,109.76537537842209,2012-11-20
223,110.94424415242003,2012-11-21
224,111.02610870910036,2012-11-23
225,111.04031867664088,2012-11-26
226,111.39607049140835,2012-11-27
227,112.07971004980465,2012-11-28
228,112.75276606851062,2012-11-29
229,112.03019288987909,2012-11-30
230,111.6342146009663,2012-12-03
231,111.36467908627942,2012-12-04
232,112.18246505040989,2012-12-05
233,112.58193853017826,2012-12-06
234,112.96158324353375,2012-12-07
235,113.42781536087605,2012-12-10
236,114.54235125154545,2012-12-11
237,114.0099899206593,2012-12-12
238,114.05194426766465,2012-12-13
239,114.10726046429735,2012-12-14
240,114.91299433075156,2012-12-17
241,116.40191436364844,2012-12-18
242,115.76175357621256,2012-12-19
243,115.57238071321622,2012-12-20
244,115.70294901351768,2012-12-21
245,116.18377649287008,2012-12-24
246,114.40860125650129,2012-12-26
247,114.96317820934682,2012-12-27
248,114.27092681535488,2012-12-28
249,116.27441581395664,2012-12-31
250,118.35815609121431,2013-01-02
251,119.06078048375858,2013-01-03
252,119.70343101826542,2013-01-04
253,120.15460384840969,2013-01-07
254,120.56769374915282,2013-01-08
255,120.8324973092578,2013-01-09
256,120.7423472431423,2013-01-10
257,121.66694109672866,2013-01-11
258,121.31809801660148,2013-01-14
259,121.22859915095933,2013-01-15
260,120.08480380847008,2013-01-16
261,121.67805765127063,2013-01-17
262,122.5411572159656,2013-01-18
263,122.37966093251158,2013-01-22
264,121.98450755333107,2013-01-23
265,122.20129051798635,2013-01-24
266,122.21512427033572,2013-01-25
267,122.63744818337058,2013-01-28
268,121.94654400551717,2013-01-29
269,121.24815273099028,2013-01-30
270,121.25511893854835,2013-01-31
271,123.33260212428966,2013-02-01
272,121.38679907283202,2013-02-04
273,123.25947033695859,2013-02-05
274,124.85874525103203,2013-02-06
275,124.52958839944253,2013-02-07
276,124.88912916277704,2013-02-08
277,124.6114557935939,2013-02-11
278,125.38124272317137,2013-02-12
279,124.45837535682168,2013-02-13
280,124.62770614679901,2013-02-14
281,123.83401180674491,2013-02-15
282,124.61360304666343,2013-02-19
283,123.04790886651642,2013-02-20
284,122.73817218446806,2013-02-21
