year,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
2009,0.13998,126522025.8,0.083325,433895000.0,3.4995,0.01,0.01,-322974.2,-269566000.0,204225000.0,61308000.0,265533000.0,117198000.0,-74265000.0,195301000.0,195301000.0,0.01,0.01,-269566000.0,703461000.0,21.9133,21.2299,2830112320.0,2560546320.0,4.0231,4.1526,1.8639,22.3116,0.01,0.04482,5.9013,1.6863,9.643,12.5379,20.2379,9.8228,0.01,0.47538,0.605467,0.659196,0.622017,0.673729,0.313168,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.439483,0.174875,0.134156,0.134499,0.083538,0.560517,0.180273,0.01,0.305327,0.621104,1.0,0.378896,1.5792,318.7942,151.603,2.3859,33.7336,1.1449,2.4076,10.8201,-7.2675,-0.3832,1.3668,1.3668,0.01,0.01,0.291596,0.001198,0.290398,-0.11128,0.180316,0.01,0.212401,0.131923,0.01,0.180316,0.01,0.662927,2.22421,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,9.5085,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.9118,2.6855,-0.048909,0.128621,0.128621,135439218.5,0.089198,0.134499
2010,0.209103,178219407.7,0.097074,461269000.0,4.1019,27374000.0,150845407.7,-761592.3,-349604000.0,289061000.0,68921000.0,357982000.0,113215000.0,-66437000.0,283167000.0,283167000.0,0.01,0.01,-349604000.0,810873000.0,25.5514,24.8601,6748765100.0,6399161100.0,8.3228,8.5543,3.676,37.7066,0.01,0.026521,13.8729,3.4855,17.8757,22.1378,35.9061,22.1278,42.422,0.348164,0.415405,0.408604,0.411021,0.427848,0.109401,0.01,0.063089,0.01,0.01,0.01,0.01,0.01,0.01,0.041094,0.01,0.01,0.447319,0.194988,0.156777,0.157447,0.097488,0.552681,0.175113,0.01,0.290541,0.619181,1.0,0.380819,1.7627,352.3504,159.6413,2.7959,34.4339,1.0359,2.2864,10.6,-7.2778,-0.4089,1.3756,1.3756,0.01,0.01,0.398183,0.00246,0.395723,-0.1618,0.236382,0.337023,0.277528,0.17184,0.01,0.236382,0.01,0.707349,2.554352,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,16.3915,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.3012,2.887,-0.036187,0.154237,0.154237,186926946.3,0.101816,0.157447
2011,0.23619,215471752.2,0.09494,459737000.0,4.9284,-1532000.0,217003752.2,526752.2,-584489000.0,349705000.0,74938000.0,424643000.0,151147000.0,-112509000.0,343739000.0,343739000.0,0.01,0.01,-584489000.0,1044226000.0,32.8631,32.1727,10731688500.0,10147199500.0,10.2772,10.4977,4.7286,49.9276,0.01,0.020029,22.0717,4.471,23.8958,29.0165,47.0929,24.6833,46.7605,0.186213,0.209797,0.209025,0.200938,0.198582,0.421538,0.438584,-0.003321,0.052998,0.052971,0.060593,0.053596,0.054081,0.05296,0.070942,0.01,0.010213,0.435201,0.187105,0.154463,0.154086,0.094708,0.564799,0.176526,0.01,0.280737,0.614647,1.0,0.385353,1.7822,323.1363,160.1198,3.1768,32.0112,1.1296,2.2795,11.4023,-7.9932,-0.5035,1.3729,1.3729,0.01,0.01,0.467905,-0.001128,0.469033,-0.236171,0.231734,0.471232,0.274611,0.168789,0.01,0.231734,0.01,0.295462,2.719842,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,20.2476,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.1831,2.951,-0.049573,0.151457,0.151457,224261813.6,0.098813,0.154086
2012,0.203422,276894523.5,0.101381,582199000.0,5.2426,122462000.0,154432523.5,-1105476.5,-663727000.0,457685000.0,84130000.0,541815000.0,197037000.0,-113104000.0,359755000.0,359755000.0,0.01,0.01,-663727000.0,1245926000.0,39.201,38.5107,9454171180.0,8790444180.0,7.5881,7.7241,3.4615,34.0078,0.01,0.029405,15.0987,3.2185,16.2241,19.2063,31.7465,20.9315,56.9209,0.275931,0.308775,0.285062,0.293354,0.294379,0.021569,-0.288342,0.266374,0.038958,0.021321,0.018624,0.014121,0.014154,0.01626,0.014002,0.006639,0.013024,0.438772,0.198378,0.166909,0.167575,0.101786,0.561228,0.172091,0.01,0.271863,0.607405,1.0,0.392595,1.7655,216.8585,153.215,3.3747,29.1741,1.6831,2.3823,12.5111,-8.4457,-0.545,1.351,1.351,0.01,0.01,0.5315,0.001771,0.529729,-0.288721,0.242779,0.296434,0.295856,0.179704,0.01,0.242779,0.01,0.780906,2.131392,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,17.0156,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.9253,2.6206,-0.041411,0.131719,0.131719,287181528.8,0.105148,0.167575
2013,0.176978,326365268.4,0.101526,646251000.0,5.2336,64052000.0,262313268.4,-1072731.6,-892037000.0,534471000.0,96054000.0,630525000.0,199926000.0,-111095000.0,467079000.0,467079000.0,0.01,0.01,-892037000.0,1538288000.0,49.1764,48.4751,16665891180.0,15773854180.0,10.8341,10.9908,5.1845,50.8979,0.01,0.019647,24.4082,4.907,25.017,29.513,48.3319,29.8307,60.1336,0.163727,0.16777,0.178663,0.177835,0.196571,0.259111,0.698562,0.110017,0.047233,0.049268,0.052881,0.059426,0.059091,0.059717,0.027274,0.037206,0.026009,0.435911,0.196145,0.165719,0.166264,0.10186,0.564089,0.171448,0.01,0.270192,0.612639,1.0,0.387361,1.748,157.5162,150.2331,3.5133,30.8067,2.3172,2.4296,11.8481,-7.1013,-0.5588,1.321,1.321,0.01,0.01,0.531345,0.001379,0.529966,-0.296134,0.23521,0.427064,0.290636,0.178055,0.01,0.23521,0.01,0.424212,2.644879,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,24.8771,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.3444,3.0226,-0.03456,0.1453,0.1453,340003847.0,0.105769,0.166264
2014,0.278007,443189849.7,0.107878,758206000.0,5.8503,111955000.0,331234849.7,-2184150.3,-1254163000.0,714303000.0,110474000.0,824777000.0,252590000.0,-144256000.0,613801000.0,613801000.0,0.01,0.01,-1254163000.0,2012369000.0,63.8604,63.1642,21570279120.0,20316116120.0,10.7188,10.837,5.2505,48.4318,0.01,0.020648,26.795,4.9452,24.6323,28.4419,45.8407,29.7861,61.3345,0.30808,0.336467,0.357957,0.360178,0.34957,0.289888,0.262745,0.173238,0.058122,0.087038,0.093693,0.102715,0.103061,0.101325,-0.011241,-0.101299,0.143244,0.433971,0.20076,0.173017,0.17387,0.108409,0.566029,0.17237,0.01,0.260954,0.623509,1.0,0.376491,1.8112,139.6065,163.8991,3.9689,36.155,2.6145,2.227,10.0954,-5.2539,-0.6045,1.2777,1.2777,0.01,0.01,0.631119,0.002035,0.629084,-0.380251,0.250869,0.471691,0.314907,0.196347,0.01,0.250869,0.01,0.198346,2.700293,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,28.9367,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.4981,3.227,-0.035114,0.149406,0.149406,457271789.4,0.111305,0.17387
2015,0.09565,471723629.6,0.104799,841831000.0,5.6264,83625000.0,388098629.6,-3878370.4,-1286143000.0,769867000.0,130368000.0,900235000.0,257418000.0,-128499000.0,534705000.0,534705000.0,0.01,0.01,-1286143000.0,2127974000.0,67.5676,66.871,15112395900.0,13826252900.0,7.1018,7.1758,3.3574,31.7753,0.01,0.031471,16.424,3.0717,15.3585,17.9593,29.3101,20.2341,35.6256,0.091489,0.077788,0.064383,0.067871,0.068648,0.001831,0.171672,0.110293,-0.015809,-0.078233,-0.094979,-0.102563,-0.100877,-0.099045,-0.052101,0.042735,0.030838,0.433585,0.199998,0.16964,0.171035,0.105661,0.566415,0.169993,0.01,0.263944,0.617772,1.0,0.382228,1.714,123.1154,167.8723,3.8733,32.8294,2.9647,2.1743,11.1181,-5.9791,-0.6135,1.2686,1.2686,0.01,0.01,0.589641,0.003053,0.586587,-0.359901,0.22974,0.485112,0.29315,0.1811,0.01,0.22974,0.01,0.968615,2.6545,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,19.1347,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.9101,2.5058,-0.028548,0.118791,0.118791,490328440.4,0.108932,0.171035
2016,-0.132595,20467690.1,0.005242,859722000.0,4.5892,17891000.0,2576690.1,-2470309.9,-542771000.0,38739000.0,146368000.0,185107000.0,258842000.0,-177135000.0,240581000.0,240581000.0,0.01,0.01,-542771000.0,1402493000.0,47.111,46.374,11232816400.0,10690045400.0,8.0092,8.1365,2.877,489.7034,0.01,0.002042,12.4343,2.738,57.7506,275.9505,522.2888,30.6093,4148.7509,-0.794379,-0.949681,-0.956611,-0.951771,-0.949007,-0.488901,-0.993361,0.021252,0.009581,-0.277896,-0.65991,-0.712835,-0.693494,-0.684426,-0.070732,-0.954564,0.034299,0.367229,0.04741,0.008853,0.009922,0.005875,0.632771,0.23517,0.01,0.358376,0.592116,1.0,0.407884,1.6435,99.1791,164.3657,3.0978,30.1158,3.6802,2.2207,12.1199,-6.219,-0.518,1.3458,1.3458,0.01,0.01,0.024058,0.002701,0.021356,-0.011063,0.012994,0.003029,0.016307,0.009656,0.01,0.012994,0.01,36.518223,1.349248,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,14.4747,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.8538,1.6259,-0.045368,0.061618,0.061618,44767558.0,0.011466,0.009922
