year,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos,adj_close
2009,0.49,0.49,24119000.0,0.48,0.01,5548000.0,13038000.0,13038000.0,13038000.0,255559000.0,426707000.0,379000.0,92204000.0,5639000.0,29484000.0,255559000.0,171148000.0,78000.0,-1417000.0,151446000.0,19702000.0,-1116000.0,18586000.0,426707000.0,26600000.0,26750000.0,27147000.0,18.7638454167997
2010,0.86,0.86,28878000.0,0.82,0.01,7638000.0,23162000.0,23162000.0,23162000.0,304277000.0,513860000.0,612000.0,109566000.0,6353000.0,34632000.0,304277000.0,209583000.0,90000.0,124000.0,179429000.0,30154000.0,646000.0,30800000.0,513860000.0,26900000.0,27073000.0,28167000.0,35.3055253912488
2011,1.14,1.14,34075000.0,1.08,1039000.0,12082000.0,31570000.0,31570000.0,31570000.0,367165000.0,620943000.0,562000.0,129328000.0,6997000.0,39952000.0,367165000.0,253778000.0,0.01,703000.0,211391000.0,42387000.0,1265000.0,43652000.0,620943000.0,27700000.0,27631000.0,29143000.0,45.1607793037368
2012,1.12,1.12,41347000.0,1.09,557000.0,11247000.0,31409000.0,31409000.0,31409000.0,420714000.0,708325000.0,772000.0,151271000.0,8440000.0,45131000.0,420714000.0,287611000.0,-222000.0,797000.0,246746000.0,40865000.0,1791000.0,42656000.0,708325000.0,28000000.0,27994000.0,28857000.0,32.7844139252635
2013,0.75,0.75,49007000.0,0.73,3879000.0,3990000.0,21022000.0,21022000.0,21022000.0,465349000.0,775125000.0,1019000.0,174793000.0,9132000.0,49105000.0,465349000.0,309776000.0,-133000.0,0.01,285916000.0,23860000.0,1152000.0,25012000.0,775125000.0,28000000.0,28194000.0,28895000.0,30.9508783136378
2014,0.99,0.99,55387000.0,0.97,1963000.0,8926000.0,27397000.0,27397000.0,27397000.0,511682000.0,845569000.0,1135000.0,184580000.0,4973000.0,51558000.0,511682000.0,333887000.0,238000.0,0.01,298461000.0,35426000.0,897000.0,36323000.0,845569000.0,27700000.0,27710000.0,28316000.0,50.0335994889812
2015,1.76,1.76,59417000.0,1.73,2908000.0,16782000.0,45325000.0,45325000.0,45325000.0,543992000.0,919597000.0,60000.0,192739000.0,3652000.0,53827000.0,543992000.0,375605000.0,1015000.0,0.01,312543000.0,63062000.0,-955000.0,62107000.0,919597000.0,25800000.0,25718000.0,26231000.0,43.3172788246567
2016,1.91,1.91,64275000.0,1.88,2971000.0,15534000.0,45557000.0,45557000.0,45557000.0,596830000.0,993052000.0,1180000.0,204985000.0,6977000.0,55373000.0,596830000.0,396222000.0,1730000.0,0.01,334581000.0,61641000.0,-550000.0,61091000.0,993052000.0,23900000.0,23824000.0,24233000.0,39.1619290961354
