date,adj_close,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2017-11-21,8.685,9.88,7.92,9.37,68767903.0,8.685,0.0,9.88,7.92,9.37,1.0,68767903.0
2017-10-31,12.38,14.44,11.38,13.43,56402248.0,12.38,0.0,14.44,11.38,13.43,1.0,56402248.0
2017-09-29,13.39,14.03,12.64,12.64,35203842.0,13.39,0.0,14.03,12.64,12.64,1.0,35203842.0
2017-08-31,12.56,17.48,12.02,16.85,64680496.0,12.56,0.0,17.48,12.02,16.85,1.0,64680496.0
2017-07-31,16.8,19.06,16.29,18.7,44106462.0,16.8,0.0,19.06,16.29,18.7,1.0,44106462.0
2017-06-30,18.7,22.57,18.69,20.55,53042631.0,18.7,0.0,22.57,18.69,20.55,1.0,53042631.0
2017-05-31,20.45,23.702,14.81,15.81,97850934.0,20.45,0.0,23.702,14.81,15.81,1.0,97850934.0
2017-04-28,15.83,16.17,14.12,14.97,32097349.0,15.83,0.0,16.17,14.12,14.97,1.0,32097349.0
2017-03-31,14.96,15.69,13.65,15.27,46163111.0,14.96,0.0,15.69,13.65,15.27,1.0,46163111.0
2017-02-28,15.2,17.68,14.83,16.72,41913174.0,15.2,0.0,17.68,14.83,16.72,1.0,41913174.0
2017-01-31,16.49,17.53,13.4,13.63,65525279.0,16.49,0.0,17.53,13.4,13.63,1.0,65525279.0
2016-12-30,13.29,15.72,13.165,13.85,45666225.0,13.29,0.0,15.72,13.165,13.85,1.0,45666225.0
2016-11-30,13.85,15.18,12.34,13.79,59388873.0,13.85,0.0,15.18,12.34,13.79,1.0,59388873.0
2016-10-31,13.87,18.51,13.625,18.01,59279759.0,13.87,0.0,18.51,13.625,18.01,1.0,59279759.0
2016-09-30,17.95,18.23,13.98,14.5,57988995.0,17.95,0.0,18.23,13.98,14.5,1.0,57988995.0
2016-08-31,14.5,16.57,11.98,13.46,77894124.0,14.5,0.0,16.57,11.98,13.46,1.0,77894124.0
2016-07-29,13.39,15.18,12.64,13.49,62644130.0,13.39,0.0,15.18,12.64,13.49,1.0,62644130.0
2016-06-30,13.69,14.21,11.59,13.25,70290900.0,13.69,0.0,14.21,11.59,13.25,1.0,70290900.0
2016-05-31,13.39,17.79,11.84,17.7,86012965.0,13.39,0.0,17.79,11.84,17.7,1.0,86012965.0
2016-04-29,17.69,19.76,14.81,15.31,88736585.0,17.69,0.0,19.76,14.81,15.31,1.0,88736585.0
2016-03-31,15.47,15.9,10.74,10.85,107558443.0,15.47,0.0,15.9,10.74,10.85,1.0,107558443.0
