,name,count,pos
2034,pay bad minimum,1,
2035,bad minimum wage,1,
2036,minimum wage person,1,
2037,wage person issues,1,
2038,person issues management,1,
2039,issues management already,1,
2040,management already loves,1,
2041,already loves anything,1,
2042,loves anything rude,1,
2043,anything rude reason,1,
2044,rude reason people,1,
2045,reason people always,1,
2046,people always job,1,
2047,always job lazyabsolutely,1,
2048,job lazyabsolutely consideration,1,
2049,lazyabsolutely consideration quality,1,
1988,good executed another,1,
1986,employees jobs good,1,
1732,dishes wiping table,1,
1932,sidework done stressful,1,
1924,week 7 hours,1,
1925,7 hours day,1,
1926,hours day strict,1,
1927,day strict labor,1,
1928,strict labor rush,1,
1929,labor rush get,1,
1930,rush get sidework,1,
1931,get sidework done,1,
1933,done stressful busy,1,
1922,shifts per week,1,
1934,stressful busy nights,1,
1935,busy nights aloneconstantly,1,
1936,nights aloneconstantly evolving,1,
1937,aloneconstantly evolving company,1,
1938,evolving company due,1,
1939,company due rapid,1,
1940,due rapid expansion,1,
1941,rapid expansion may,1,
1923,per week 7,1,
1921,5 shifts per,1,
1985,monitor employees jobs,1,
1910,run quickly servers,1,
1902,liudly reimbursement uniform,1,
1903,reimbursement uniform expenses,1,
1904,uniform expenses non,1,
1905,expenses non slip,1,
1906,non slip shoes,1,
1907,slip shoes wear,1,
1908,shoes wear run,1,
1909,wear run quickly,1,
1911,quickly servers high,1,
1920,work 5 shifts,1,
1912,servers high tip,1,
1913,high tip 5,1,
1914,tip 5 6,1,
1915,5 6 depending,1,
1916,6 depending section,1,
1917,depending section could,1,
1918,section could work,1,
1919,could work 5,1,
1942,expansion may excite,1,
1943,may excite wanting,1,
1944,excite wanting easy,1,
1975,single table often,1,
1967,know secret shopper,1,
1968,secret shopper must,1,
1969,shopper must say,1,
1970,must say entire,1,
1971,say entire script,1,
1972,entire script every,1,
1973,script every single,1,
1974,every single table,1,
1976,table often results,1,
1945,wanting easy serving,1,
1977,often results awkward,1,
1978,results awkward communication,1,
1979,awkward communication irritated,1,
1980,communication irritated customers,1,
1981,irritated customers etc,1,
1982,customers etc idea,1,
1983,etc idea monitor,1,
1984,idea monitor employees,1,
1966,never know secret,1,
1965,unnatural never know,1,
1964,scripted unnatural never,1,
1963,experience scripted unnatural,1,
1946,easy serving position,1,
1947,serving position unless,1,
1948,position unless developing,1,
1949,unless developing market,1,
1950,developing market hard,1,
1951,market hard move,1,
1952,hard move management,1,
1953,move management bj,1,
1954,management bj secret,1,
1955,bj secret shops,1,
1956,secret shops order,1,
1957,shops order score,1,
1958,order score 100,1,
1959,score 100 score,1,
1960,100 score entire,1,
1961,score entire experience,1,
1962,entire experience scripted,1,
1733,wiping table us,1,
1728,bussers even leave,1,
1731,stack dishes wiping,1,
1504,organization consistency km,1,
1496,store found management,1,
1497,found management team,1,
1498,management team lacking,1,
1499,team lacking several,1,
1500,lacking several areas,1,
1501,several areas communication,1,
1502,areas communication organization,1,
1503,communication organization consistency,1,
1505,consistency km particularly,1,
1494,environment perhaps store,1,
1506,km particularly difficult,1,
1507,particularly difficult person,1,
1508,difficult person work,1,
1509,person work amount,1,
1510,work amount side,1,
1511,amount side work,1,
1512,side work sometimes,1,
1513,work sometimes overwhelming,1,
1495,perhaps store found,1,
1493,challenging environment perhaps,1,
1730,leave stack dishes,1,
1482,restaurant customer service,1,
1474,get crazy busy,1,
1475,crazy busy sometimes,1,
1476,busy sometimes customers,1,
1477,sometimes customers would,1,
1478,customers would rude,1,
1479,would rude working,1,
1480,rude working restaurant,1,
1481,working restaurant customer,1,
1483,customer service job,1,
1492,particularly challenging environment,1,
1484,service job former,1,
1485,job former server,1,
1486,former server many,1,
1487,server many restaurants,1,
1488,many restaurants considered,1,
1489,restaurants considered restaurant,1,
1490,considered restaurant particularly,1,
1491,restaurant particularly challenging,1,
1514,sometimes overwhelming difficult,1,
1515,overwhelming difficult shift,1,
1516,difficult shift addition,1,
1547,shoving programs guests,1,
1539,get short end,1,
1540,short end stick,1,
1541,end stick servers,1,
1542,stick servers prized,1,
1543,servers prized corporate,1,
1544,prized corporate always,1,
1545,corporate always shoving,1,
1546,always shoving programs,1,
1548,programs guests face,1,
1517,shift addition next,1,
1549,guests face make,1,
1550,face make bartending,1,
1551,make bartending serving,1,
1552,bartending serving fun,1,
1553,serving fun awhile,1,
1554,fun awhile scripted,1,
1555,awhile scripted service,1,
1556,scripted service steps,1,
1538,tend get short,1,
1537,workers tend get,1,
1536,tier workers tend,1,
