,goodwill,totalpreferredequity,adj_close
0,0.01,0.01,0.0
1,0.01,0.01,0.2087700176071099
2,0.01,0.01,0.418512618428775
3,0.01,0.01,0.3509683910455269
4,0.01,0.01,0.7455688773371341
5,0.01,0.01,1.0
6,0.01,0.01,0.6568122746709146
7,0.01,0.01,0.4848830384841117
