,name,count,pos
2248,sell customer feels,1,
2250,feels like people,1,
2216,never know secret,1,
2251,like people redundant,1,
2252,people redundant pushy,1,
2253,redundant pushy food,1,
2254,pushy food sometimes,1,
2255,food sometimes come,1,
2256,sometimes come wrong,1,
2257,come wrong timely,1,
2258,wrong timely matter,1,
2259,timely matter upsets,1,
2239,executed another way,1,
2238,good executed another,1,
2237,jobs good executed,1,
2236,employees jobs good,1,
2217,know secret shopper,1,
2218,secret shopper must,1,
2219,shopper must say,1,
2220,must say entire,1,
2221,say entire script,1,
2222,entire script every,1,
2223,script every single,1,
2224,every single table,1,
2225,single table often,1,
2226,table often results,1,
2227,often results awkward,1,
2228,results awkward communication,1,
2229,awkward communication irritated,1,
2230,communication irritated customers,1,
2231,irritated customers etc,1,
2232,customers etc idea,1,
2233,etc idea monitor,1,
2234,idea monitor employees,1,
2235,monitor employees jobs,1,
2168,section could work,1,
2166,6 depending section,1,
1888,make job 1,1,
2107,bartender money put,1,
2098,getting kinks outsuper,1,
2099,kinks outsuper corporate,1,
2100,outsuper corporate restaurant,1,
2101,corporate restaurant crappy,1,
2102,restaurant crappy regulars,1,
2103,crappy regulars lot,1,
2104,regulars lot work,1,
2105,lot work bartender,1,
2106,work bartender money,1,
2108,money put incompetent,1,
2096,new still getting,1,
2109,put incompetent people,1,
2110,incompetent people helm,1,
2111,people helm times,1,
2112,helm times management,1,
2113,times management staff,1,
2114,management staff rarely,1,
2115,staff rarely page,1,
2116,rarely page anything,1,
2117,page anything poor,1,
2097,still getting kinks,1,
2095,restaurant new still,1,
2165,5 6 depending,1,
2083,lazy coworkers long,1,
2074,two minutes regard,1,
2075,minutes regard safety,1,
2076,regard safety terms,1,
2077,safety terms reducing,1,
2078,terms reducing stress,1,
2079,reducing stress body,1,
2080,stress body busser,1,
2081,body busser lazy,1,
2082,busser lazy coworkers,1,
2084,coworkers long hours,1,
2094,hot restaurant new,1,
2085,long hours sometimes,1,
2086,hours sometimes many,1,
2087,sometimes many rules,1,
2088,many rules sometimes,1,
2089,rules sometimes staffed,1,
2090,sometimes staffed music,1,
2091,staffed music loud,1,
2092,music loud hot,1,
2093,loud hot restaurant,1,
2118,anything poor training,1,
2119,poor training new,1,
2120,training new employees,1,
2154,uniform expenses non,1,
2145,get control high,1,
2146,control high stress,1,
2147,high stress levels,1,
2148,stress levels expect,1,
2149,levels expect yell,1,
2150,expect yell liudly,1,
2151,yell liudly reimbursement,1,
2152,liudly reimbursement uniform,1,
2153,reimbursement uniform expenses,1,
2155,expenses non slip,1,
2121,new employees poor,1,
2156,non slip shoes,1,
2157,slip shoes wear,1,
2158,shoes wear run,1,
2159,wear run quickly,1,
2160,run quickly servers,1,
2161,quickly servers high,1,
2162,servers high tip,1,
2163,high tip 5,1,
2164,tip 5 6,1,
2144,busy things get,1,
2143,gets busy things,1,
2142,things gets busy,1,
2141,running things gets,1,
2122,employees poor performance,1,
2123,poor performance never,1,
2124,performance never reprimanded,1,
2125,never reprimanded general,1,
2126,reprimanded general culture,1,
2127,general culture mediocrity,1,
2128,culture mediocrity within,1,
2129,mediocrity within service,1,
2130,within service staffkitchen,1,
2131,service staffkitchen gets,1,
2132,staffkitchen gets crazy,1,
2133,gets crazy many,1,
2134,crazy many menu,1,
2135,many menu items,1,
2136,menu items lazy,1,
2137,items lazy co,1,
2138,co workers always,1,
2139,workers always running,1,
2140,always running things,1,
1889,job 1 priority,1,
1885,yet managers expect,1,
1887,expect make job,1,
1640,move several times,1,
1631,management approve give,1,
1632,approve give good,1,
1633,give good reason,1,
1634,good reason went,1,
1635,reason went former,1,
1636,went former location,1,
1637,former location wanted,1,
1638,location wanted move,1,
1639,wanted move several,1,
1641,several times ignored,1,
1629,professional manner management,1,
1642,times ignored upsetting,1,
1643,ignored upsetting worked,1,
1644,upsetting worked head,1,
1645,worked head hostess,1,
1646,head hostess year,1,
1647,hostess year many,1,
1648,year many employees,1,
1649,many employees individualized,1,
1650,employees individualized attention,1,
1630,manner management approve,1,
1628,situation professional manner,1,
1886,managers expect make,1,
1616,fair employees working,1,
1607,training hands managers,1,
1608,hands managers often,1,
1609,managers often unprofessional,1,
1610,often unprofessional point,1,
1611,unprofessional point could,1,
1612,point could reported,1,
1613,could reported harassment,1,
1614,reported harassment fair,1,
1615,harassment fair employees,1,
1617,employees working bj,1,
1627,handling situation professional,1,
1618,working bj year,1,
1619,bj year half,1,
1620,year half wanted,1,
1621,half wanted switch,1,
1622,wanted switch locations,1,
1623,switch locations moved,1,
1624,locations moved instead,1,
1625,moved instead handling,1,
1626,instead handling situation,1,
1651,individualized attention hard,1,
1652,attention hard come,1,
1653,hard come bylower,1,
1687,somewhat unsteady shifts,1,
1678,corporate hire brightest,1,
1679,hire brightest people,1,
1680,brightest people unfortunately,1,
1681,people unfortunately explains,1,
1682,unfortunately explains people,1,
1683,explains people complain,1,
1684,people complain service,1,
1685,complain service somewhat,1,
1686,service somewhat unsteady,1,
1688,unsteady shifts angry,1,
1654,come bylower income,1,
1689,shifts angry guests,1,
1690,angry guests first,1,
1691,guests first three,1,
1692,first three years,1,
1693,three years went,1,
1694,years went four,1,
1695,went four general,1,
1696,four general managers,1,
1697,general managers alone,1,
1677,remember corporate hire,1,
1676,things remember corporate,1,
1675,lot things remember,1,
1674,fun lot things,1,
1655,bylower income guests,1,
1656,income guests tip,1,
1657,guests tip timesvery,1,
1658,tip timesvery corporate,1,
1659,timesvery corporate overall,1,
1660,corporate overall feeling,1,
1661,overall feeling replaceable,1,
1662,feeling replaceable important,1,
1663,replaceable important management,1,
1664,important management worked,1,
1665,management worked seems,1,
1666,worked seems frustrated,1,
1667,seems frustrated polices,1,
1668,frustrated polices coming,1,
1669,polices coming overall,1,
1670,coming overall feelings,1,
1671,overall feelings stressful,1,
1672,feelings stressful fun,1,
1673,stressful fun lot,1,
1606,rudethe training hands,1,
1605,costumers rudethe training,1,
1604,april costumers rudethe,1,
1545,good money get,1,
1536,program bit fast,1,
1537,bit fast menu,1,
1538,fast menu large,1,
1539,menu large new,1,
1540,large new servers,1,
1541,new servers unprepared,1,
1542,servers unprepared make,1,
1543,unprepared make good,1,
1544,make good money,1,
1546,money get longer,1,
1557,worst worlds terms,1,
1547,get longer shifts,1,
1548,longer shifts take,1,
1549,shifts take months,1,
1550,take months restaurant,1,
1551,months restaurant neither,1,
1552,restaurant neither upscale,1,
1553,neither upscale casual,1,
1554,upscale casual get,1,
1555,casual get worst,1,
1535,training program bit,1,
1534,threats training program,1,
1533,makes threats training,1,
1532,staff makes threats,1,
1513,business running restaurant,1,
1514,running restaurant fudges,1,
1515,restaurant fudges numbers,1,
1516,fudges numbers lies,1,
1517,numbers lies never,1,
1518,lies never takes,1,
1519,never takes reaponsibilty,1,
1520,takes reaponsibilty anything,1,
1521,reaponsibilty anything always,1,
1522,anything always places,1,
1523,always places blame,1,
1524,places blame guests,1,
1525,blame guests stand,1,
1526,guests stand team,1,
1527,stand team members,1,
1528,team members hate,1,
1529,members hate bullies,1,
1530,hate bullies staff,1,
1531,bullies staff makes,1,
1556,get worst worlds,1,
1558,worlds terms customers,1,
1603,since april costumers,1,
1592,waves high numbers,1,
1583,managers makes mad,1,
1584,makes mad employees,1,
1585,mad employees lot,1,
1586,employees lot people,1,
1587,lot people quit,1,
1588,people quit seen,1,
1589,quit seen two,1,
1590,seen two waves,1,
1591,two waves high,1,
1593,high numbers people,1,
1559,terms customers staff,1,
1594,numbers people quitting,1,
1595,people quitting management,1,
1596,quitting management still,1,
1597,management still currently,1,
1598,still currently understaffed,1,
1599,currently understaffed location,1,
1600,understaffed location way,1,
1601,location way since,1,
1602,way since april,1,
1582,bad managers makes,1,
1581,makes bad managers,1,
1580,corporate makes bad,1,
1579,poorly corporate makes,1,
1560,customers staff cut,1,
1561,staff cut early,1,
1562,cut early leaving,1,
1563,early leaving unrealistic,1,
1564,leaving unrealistic section,1,
1565,unrealistic section attend,1,
1566,section attend 2,1,
1567,attend 2 table,1,
1568,2 table section,1,
1569,table section weekend,1,
1570,section weekend evenings,1,
1571,weekend evenings due,1,
1572,evenings due large,1,
1573,due large staff,1,
1574,large staff corporatemanagers,1,
1575,staff corporatemanagers seem,1,
1576,corporatemanagers seem trained,1,
1577,seem trained poorly,1,
1578,trained poorly corporate,1,
1698,managers alone corporate,1,
1699,alone corporate brought,1,
1700,corporate brought manager,1,
1828,sweat hard physical,1,
1819,every single person,1,
1820,single person really,1,
1821,person really trust,1,
1822,really trust anyone,1,
1823,trust anyone high,1,
1824,anyone high volume,1,
1825,high volume prepared,1,
1826,volume prepared sweat,1,
1827,prepared sweat hard,1,
1829,hard physical work,1,
1840,lame cutthroat hours,1,
1830,physical work dealing,1,
1831,work dealing public,1,
1832,dealing public nice,1,
1833,public nice everybody,1,
1834,nice everybody server,1,
1835,everybody server hourly,1,
1836,server hourly wage,1,
1837,hourly wage states,1,
1838,wage states lame,1,
1818,please every single,1,
1817,hard please every,1,
1816,enough hard please,1,
1815,busy enough hard,1,
1796,always shoving programs,1,
1797,shoving programs guests,1,
1798,programs guests face,1,
1799,guests face make,1,
1800,face make bartending,1,
1801,make bartending serving,1,
1802,bartending serving fun,1,
1803,serving fun awhile,1,
1804,fun awhile scripted,1,
1805,awhile scripted service,1,
1806,scripted service steps,1,
1807,service steps servers,1,
1808,steps servers cranky,1,
1809,servers cranky get,1,
1810,cranky get mad,1,
1811,get mad either,1,
1812,mad either busy,1,
1813,either busy busy,1,
1814,busy busy enough,1,
1839,states lame cutthroat,1,
1841,cutthroat hours guaranteed,1,
1794,prized corporate always,1,
1875,silverware leave managers,1,
1866,hard busy hours,1,
1867,busy hours takes,1,
1868,hours takes forever,1,
1869,takes forever complete,1,
1870,forever complete side,1,
1871,complete side work,1,
1872,side work rolling,1,
1873,work rolling silverware,1,
1874,rolling silverware leave,1,
1876,leave managers unrealistic,1,
1842,hours guaranteed especially,1,
1877,managers unrealistic expectations,1,
1878,unrealistic expectations working,1,
1879,expectations working heck,1,
1880,working heck time,1,
1881,heck time life,1,
1882,time life working,1,
1883,life working yet,1,
1884,working yet managers,1,
2261,upsets customers fast,1,
1865,long hard busy,1,
1864,work long hard,1,
1863,expensive work long,1,
1862,isprices expensive work,1,
1843,guaranteed especially hosts,1,
1844,especially hosts business,1,
1845,hosts business slow,1,
1846,business slow get,1,
1847,slow get cut,1,
1848,get cut early,1,
1849,cut early long,1,
1850,early long hours,1,
1851,long hours crappy,1,
1852,hours crappy clientele,1,
1853,crappy clientele high,1,
1854,clientele high turn,1,
1855,high turn thus,1,
1856,turn thus servers,1,
1857,thus servers gooddepending,1,
1858,servers gooddepending manager,1,
1859,gooddepending manager difficult,1,
1860,manager difficult isprices,1,
1861,difficult isprices expensive,1,
1795,corporate always shoving,1,
1793,servers prized corporate,1,
1701,brought manager outside,1,
1734,service job former,1,
1725,crazy busy sometimes,1,
1726,busy sometimes customers,1,
1727,sometimes customers would,1,
1728,customers would rude,1,
1729,would rude working,1,
1730,rude working restaurant,1,
1731,working restaurant customer,1,
1732,restaurant customer service,1,
1733,customer service job,1,
1735,job former server,1,
1746,store found management,1,
1736,former server many,1,
1737,server many restaurants,1,
1738,many restaurants considered,1,
1739,restaurants considered restaurant,1,
1740,considered restaurant particularly,1,
1741,restaurant particularly challenging,1,
1742,particularly challenging environment,1,
1743,challenging environment perhaps,1,
1744,environment perhaps store,1,
1724,get crazy busy,1,
1723,weekends get crazy,1,
1722,hispanic weekends get,1,
1721,unless hispanic weekends,1,
1702,manager outside instead,1,
1703,outside instead internally,1,
1704,instead internally eventually,1,
1705,internally eventually manager,1,
1706,eventually manager promoted,1,
1707,manager promoted slow,1,
1708,promoted slow days,1,
1709,slow days leave,1,
1710,days leave 15,1,
1711,leave 15 dollars,1,
1712,15 dollars corporate,1,
1713,dollars corporate atmosphere,1,
1714,corporate atmosphere always,1,
1715,atmosphere always feel,1,
1716,always feel edge,1,
1717,feel edge workpoor,1,
1718,edge workpoor communication,1,
1719,workpoor communication unless,1,
1720,communication unless hispanic,1,
1745,perhaps store found,1,
1747,found management team,1,
1792,stick servers prized,1,
1781,lifting walking competing,1,
1772,company despite consistent,1,
1773,despite consistent positive,1,
1774,consistent positive feedback,1,
1775,positive feedback hard,1,
1776,feedback hard work,1,
1777,hard work lots,1,
1778,work lots heavy,1,
1779,lots heavy lifting,1,
1780,heavy lifting walking,1,
1782,walking competing demands,1,
1748,management team lacking,1,
1783,competing demands lower,1,
1784,demands lower tier,1,
1785,lower tier workers,1,
1786,tier workers tend,1,
1787,workers tend get,1,
1788,tend get short,1,
1789,get short end,1,
1790,short end stick,1,
1791,end stick servers,1,
1771,move company despite,1,
1770,impossible move company,1,
1769,next impossible move,1,
1768,addition next impossible,1,
1749,team lacking several,1,
1750,lacking several areas,1,
1751,several areas communication,1,
1752,areas communication organization,1,
1753,communication organization consistency,1,
1754,organization consistency km,1,
1755,consistency km particularly,1,
1756,km particularly difficult,1,
1757,particularly difficult person,1,
1758,difficult person work,1,
1759,person work amount,1,
1760,work amount side,1,
1761,amount side work,1,
1762,side work sometimes,1,
1763,work sometimes overwhelming,1,
1764,sometimes overwhelming difficult,1,
1765,overwhelming difficult shift,1,
1766,difficult shift addition,1,
1767,shift addition next,1,
2260,matter upsets customers,1,
2266,job l feel,1,
2262,customers fast pace,1,
2768,really white button,1,
2759,burn many us,1,
2760,many us tip,1,
2761,us tip extra,1,
2762,tip extra would,1,
2763,extra would depend,1,
2764,would depend culture,1,
2765,depend culture restaurant,1,
2766,culture restaurant really,1,
2767,restaurant really white,1,
2770,button shirts want,1,
2781,bar brewhouse shaped,1,
2771,shirts want us,1,
2772,want us look,1,
2773,us look like,1,
2774,look like fine,1,
2775,like fine dining,1,
2776,fine dining fine,1,
2777,dining fine dining,1,
2778,fine dining sports,1,
2779,dining sports bar,1,
2758,crash burn many,1,
2757,make crash burn,1,
2756,runners make crash,1,
2755,food runners make,1,
2736,exceptions get tipped,1,
2737,get tipped get,1,
2738,tipped get paid,1,
2739,get paid server,1,
2740,paid server wage,1,
2741,server wage people,1,
2742,wage people dread,1,
2743,people dread lot,1,
2744,dread lot work,1,
2745,lot work great,1,
2746,work great food,1,
2747,great food runner,1,
2748,food runner makes,1,
2749,runner makes much,1,
2750,makes much smoother,1,
2751,much smoother shift,1,
2752,smoother shift lazy,1,
2753,shift lazy food,1,
2754,lazy food runners,1,
2780,sports bar brewhouse,1,
