name,good,da,bad,da2
food,23,NOUN,12.0,NOUN
minutes,16,NOUN,0.0,0
server,12,NOUN,2.0,NOUN
service,9,NOUN,5.0,NOUN
waiter,8,NOUN,1.0,NOUN
chicken,8,NOUN,1.0,NOUN
time,7,NOUN,3.0,NOUN
BJs,6,NOUN,0.0,0
restaurant,6,NOUN,0.0,0
table,6,NOUN,0.0,0
