date,adj_close,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2009-03-31,13.861130629192,15.1366336633663,8.72922389013095,10.7620568508464,18016400.0,13.91,0.0,15.19,8.76,10.8,1.0,18016400.0
2009-06-30,16.8107313957202,18.0762695624401,12.8646438837432,13.7515170871926,17357800.0,16.87,0.0,18.14,12.91,13.8,1.0,17357800.0
2009-09-30,14.9373363142766,17.8670073458959,14.4490578090067,16.9402746726286,20210700.0,14.99,0.0,17.93,14.5,17.0,1.0,20210700.0
2009-12-31,18.7638454167997,19.2212328329607,14.0514595975727,14.9373363142766,29948100.0,18.83,0.0,19.289,14.101,14.99,1.0,29948100.0
2010-03-31,23.2181411689556,24.6132226125838,18.3552858511658,18.8734589587991,16274300.0,23.3,0.0,24.7,18.42,18.94,1.0,16274300.0
2010-06-30,23.5170871925902,27.5428936442031,21.5739380389652,23.327754710955,17005900.0,23.6,0.0,27.64,21.65,23.41,1.0,17005900.0
2010-09-30,28.0610667518365,29.0675183647397,21.0358351964229,23.6366656020441,12636000.0,28.16,0.0,29.17,21.11,23.72,1.0,12636000.0
2010-12-31,35.3055253912488,39.178869370808,27.4033854998403,28.3799425103801,20963700.0,35.43,0.0,39.317,27.5,28.48,1.0,20963700.0
2011-03-31,39.1918236984989,39.4110507824976,32.7246247205366,35.4848930054296,19263800.0,39.33,0.0,39.55,32.84,35.61,1.0,19263800.0
2011-06-30,52.1760459916959,52.5347812200575,37.7070584477803,39.4010859150431,17158800.0,52.36,0.0,52.72,37.84,39.54,1.0,17158800.0
2011-09-30,43.9550303417438,56.440909613542,39.6601724688598,52.3155541360588,22551000.0,44.11,0.0,56.6399,39.8,52.5,1.0,22551000.0
2011-12-30,45.1607793037368,53.7803896518684,41.8624081763015,43.875311402108,16966600.0,45.32,0.0,53.97,42.01,44.03,1.0,16966600.0
2012-03-30,50.173107633344,54.2686681571383,43.078122005749,45.5095496646439,21597100.0,50.35,0.0,54.46,43.23,45.67,1.0,21597100.0
2012-06-29,37.8664963270521,51.0500159693389,36.331906739061,50.2827211753433,30277900.0,38.0,0.0,51.23,36.46,50.46,1.0,30277900.0
2012-09-28,45.1906739061003,45.4198658575535,37.3782178217822,38.2451612903226,17192200.0,45.35,0.0,45.58,37.51,38.38,1.0,17192200.0
2012-12-31,32.7844139252635,45.4696901948259,30.9209837112744,45.2205685084637,26916700.0,32.9,0.0,45.63,31.03,45.38,1.0,26916700.0
2013-03-28,33.163078888534,36.2920472692431,28.8403193867774,33.2328329607154,24324800.0,33.28,0.0,36.42,28.942,33.35,1.0,24324800.0
2013-06-28,36.9696582561482,39.1220696263175,30.9508783136378,33.0435004790802,17448100.0,37.1,0.0,39.26,31.06,33.16,1.0,17448100.0
2013-09-30,28.5692749920153,40.8449952091983,28.2603641009262,37.089236665602,19791400.0,28.67,0.0,40.989,28.36,37.22,1.0,19791400.0
2013-12-31,30.9508783136378,31.8875758543596,25.4104120089428,28.5294155221974,26535800.0,31.06,0.0,32.0,25.5,28.63,1.0,26535800.0
2014-03-31,32.5950814436282,35.2258064516129,25.0217821782178,30.7316512296391,39382000.0,32.71,0.0,35.35,25.11,30.84,1.0,39382000.0
2014-06-30,34.7873522836155,36.4714148834238,27.9664005110188,32.6648355158096,24572000.0,34.91,0.0,36.6,28.065,32.78,1.0,24572000.0
2014-09-30,35.8635579687001,38.0657936761418,30.034110507825,34.9268604279783,18039142.0,35.99,0.0,38.2,30.14,35.05,1.0,18039142.0
2014-12-31,50.0335994889812,50.4521239220696,32.7844139252635,35.9532417757905,25581622.0,50.21,0.0,50.63,32.9,36.08,1.0,25581622.0
2015-03-31,50.2727563078889,55.2452251676781,42.2709677419355,50.4321941871606,22998177.0,50.45,0.0,55.44,42.42,50.61,1.0,22998177.0
2015-06-30,48.2797828169914,53.7206004471415,44.7621846055573,50.0933886937081,19747440.0,48.45,0.0,53.91,44.92,50.27,1.0,19747440.0
2015-09-30,42.8788246566592,52.1860108591504,41.2048265729799,48.6185883104439,22807114.0,43.03,0.0,52.37,41.3501,48.79,1.0,22807114.0
2015-12-31,43.3172788246567,47.781539444267,40.1883104439476,42.5699137655701,20849938.0,43.47,0.0,47.95,40.33,42.72,1.0,20849938.0
2016-03-31,41.4239540083041,46.8249121686362,38.3547748323219,41.5833918875758,24122209.0,41.57,0.0,46.99,38.49,41.73,1.0,24122209.0
2016-06-30,43.6760140530182,47.3829447460875,40.6068348770361,41.1748323219419,17542760.0,43.83,0.0,47.55,40.75,41.32,1.0,17542760.0
2016-09-30,35.4251038007026,44.8917278824657,34.7076333439796,43.5365059086554,18569085.0,35.55,0.0,45.05,34.83,43.69,1.0,18569085.0
2016-12-30,39.1619290961354,40.1584158415842,32.1267326732673,35.4151389332482,24459832.0,39.3,0.0,40.3,32.24,35.54,1.0,24459832.0
2017-03-31,40.258064516129,40.258064516129,34.4535292238901,39.2117534334079,21058489.0,40.4,0.0,40.4,34.575,39.35,1.0,21058489.0
2017-06-30,37.1191312679655,47.3829447460875,35.4749281379751,40.4075375279463,27512014.0,37.25,0.0,47.55,35.6,40.55,1.0,27512014.0
2017-09-29,30.3430213989141,37.2187799425104,27.9016288725647,37.1191312679655,34949107.0,30.45,0.0,37.35,28.0,37.25,1.0,34949107.0
2017-11-21,34.149,34.55,29.2967103161929,30.3928457361865,18203552.0,34.149,0.11,34.55,29.4,30.5,1.0,18203552.0
