year,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos,adj_close
2009,0.01,0.01,0.01,0.01,0.01,0.1217948717948718,0.01,0.01,0.01,0.01,0.01,0.2848214285714286,0.01,0.36259124087591244,0.01,0.01,0.01,0.15368852459016397,0.01,0.01,0.01,0.01,0.01,0.01,0.6585365853658534,0.6695652173913045,0.5934826883910391,0.0
2010,0.2605633802816902,0.2605633802816902,0.11851280007968923,0.24285714285714288,0.01,0.2851782363977486,0.3113256865217258,0.3113256865217258,0.3113256865217258,0.1427545850658274,0.1538867651343262,0.4928571428571428,0.1539443700623332,0.4928832116788322,0.1988489319788327,0.1427545850658274,0.17076605916276422,0.1598360655737705,0.6960252935862693,0.1527998471073252,0.2410516605166052,0.606123151014792,0.2806461248592633,0.1538867651343262,0.7317073170731705,0.7434782608695647,0.8012219959266806,0.52899936265137
2011,0.45774647887323944,0.45774647887323944,0.24793306106185875,0.4285714285714286,0.26785253742679177,0.6325828642901814,0.5698822227005751,0.5698822227005751,0.5698822227005751,0.32703042450134934,0.3429640943241311,0.44821428571428573,0.3291689202968585,0.6104014598540146,0.40434161226775855,0.32703042450134934,0.3671237015381609,0.11372951331967214,0.957542908762421,0.3273268353946541,0.5231780442804428,0.8190574475404198,0.575951839341927,0.3429640943241311,0.9268292682926829,0.8711670480549198,1.0,0.8441682600382392
2012,0.44366197183098605,0.44366197183098605,0.4290267954975596,0.43571428571428583,0.14359370751119802,0.5673076923076923,0.5649312709492913,0.5649312709492913,0.5649312709492913,0.48394091499131187,0.49725520663199985,0.6357142857142857,0.5237318342628635,0.8737226277372263,0.6043879640001546,0.48394091499131187,0.517443152029999,0.01,1.0,0.5203811395964726,0.4880765682656827,1.0,0.5530663357919166,0.49725520663199985,0.9999999999999991,0.9542334096109837,0.9417515274949082,0.4483747609942641
2013,0.1830985915492958,0.1830985915492958,0.6197828468971013,0.1785714285714286,1.0,0.01,0.24551800485869796,0.24551800485869796,0.24551800485869796,0.6147314011445448,0.6152045131501117,0.85625,0.732295333433823,1.0,0.7578894511182355,0.6147314011445448,0.6159218745834704,0.04559426229508198,0.640018071364047,0.7342670707401644,0.09589483394833953,0.780185758513932,0.1476528572413317,0.6152045131501117,0.9999999999999991,1.0,0.9494908350305495,0.3897386870618227
2014,0.35211267605633806,0.35211267605633806,0.7786632134674768,0.35,0.5060582611653989,0.38586616635397125,0.44155724345767094,0.44155724345767094,0.44155724345767094,0.7504974052878797,0.7395880602812773,0.9598214285714286,0.8190741348276748,0.24105839416058406,0.8526401174243887,0.7504974052878797,0.7230466424375984,0.23565573770491804,0.640018071364047,0.802768449504464,0.36263837638376384,0.6924664602683179,0.4075503779784472,0.7395880602812773,0.9268292682926829,0.8892448512585807,0.8315682281059065,1.0
2015,0.8943661971830987,0.8943661971830987,0.8790218149218049,0.8928571428571429,0.7496777513526108,1.0,0.9928657092776532,0.9928657092776532,0.9928657092776532,0.8451728977850446,0.8702999055346122,0.01,0.8914178806713896,0.01,0.940283518096489,0.8451728977850446,0.9083990154349236,0.6337090163934427,0.640018071364047,0.8796625440248997,1.0,0.055383556931544564,1.0,0.8702999055346122,0.463414634146341,0.4334096109839818,0.40692464358452174,0.78521351179095
2016,1.0,1.0,1.0,0.9999999999999999,0.7659190506984249,0.902439024390244,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.6067518248175183,1.0000000000000002,1.0,1.0,1.0,0.640018071364047,1.0,0.9672278597785977,0.194702442380461,0.9766549481859332,1.0,0.01,0.01,0.01,0.6523263224984057
