name,good,da,bad,da2
food,12,NOUN,23.0,NOUN
experience,8,NOUN,4.0,NOUN
visit,5,NOUN,1.0,NOUN
place,5,NOUN,1.0,NOUN
service,5,NOUN,9.0,NOUN
night,4,NOUN,4.0,NOUN
rib,4,NOUN,0.0,0
manager,4,NOUN,3.0,NOUN
group,3,NOUN,0.0,0
love,3,NOUN,0.0,0
