,,0
fcfftointerestex,dfcfnwctorev,0.06796861019252122
rnnoa,netincomegrowth,0.06798745634555016
netincomegrowth,rnnoa,0.06798745634555016
ebitmargin,netdebt,0.06804985323926255
ebitmargin,netnonopobligations,0.06804985323926255
netdebt,ebitmargin,0.06804985323926255
netnonopobligations,ebitmargin,0.06804985323926255
ocfgrowth,ebitlesscapextointerestex,0.06805034072847486
ebitlesscapextointerestex,ocfgrowth,0.06805034072847486
dio,epsqoqgrowth,0.06810156660928963
epsqoqgrowth,dio,0.06810156660928963
netincomegrowth,roce,0.0681184358154876
netincomegrowth,roe,0.0681184358154876
roce,netincomegrowth,0.0681184358154876
roe,netincomegrowth,0.0681184358154876
revenueqoqgrowth,epsgrowth,0.06814785670319017
epsgrowth,revenueqoqgrowth,0.06814785670319017
dio,ebitgrowth,0.06815472892395312
ebitgrowth,dio,0.06815472892395312
evtorevenue,normalizednopatmargin,0.06815511387738278
normalizednopatmargin,evtorevenue,0.06815511387738278
investedcapitalturnover,epsqoqgrowth,0.06816354826579071
epsqoqgrowth,investedcapitalturnover,0.06816354826579071
nopatqoqgrowth,fcfftointerestex,0.06825481047819693
fcfftointerestex,nopatqoqgrowth,0.06825481047819693
currentratio,netincomeqoqgrowth,0.06835178484878078
netincomeqoqgrowth,currentratio,0.06835178484878078
nopattointerestex,evtoebitda,0.06836719383189602
evtoebitda,nopattointerestex,0.06836719383189602
revenuegrowth,ebitdaqoqgrowth,0.06839851760949249
ebitdaqoqgrowth,revenuegrowth,0.06839851760949249
assetturnover,netincomeqoqgrowth,0.06839905996632242
netincomeqoqgrowth,assetturnover,0.06839905996632242
ebitdamargin,evtofcff,0.06845003182992387
evtofcff,ebitdamargin,0.06845003182992387
investedcapitalqoqgrowth,invturnover,0.06849415487253378
invturnover,investedcapitalqoqgrowth,0.06849415487253378
ebitlesscapextointerestex,arturnover,0.06850396390968651
arturnover,ebitlesscapextointerestex,0.06850396390968651
ebitqoqgrowth,faturnover,0.06855496400281708
faturnover,ebitqoqgrowth,0.06855496400281708
roa,nopattointerestex,0.06862963023678946
nopattointerestex,roa,0.06862963023678946
dfcfnwctorev,ebitdaqoqgrowth,0.0686321920395761
ebitdaqoqgrowth,dfcfnwctorev,0.0686321920395761
investedcapitalqoqgrowth,evtorevenue,0.06864000853410004
evtorevenue,investedcapitalqoqgrowth,0.06864000853410004
investedcapital,marketcap,0.0687075998164673
marketcap,investedcapital,0.0687075998164673
ebitgrowth,ocflesscapextointerestex,0.0687513423170901
ocflesscapextointerestex,ebitgrowth,0.0687513423170901
taxburdenpct,ocftointerestex,0.06879566025903287
ocftointerestex,taxburdenpct,0.06879566025903287
netincomeqoqgrowth,investedcapital,0.0688128705329804
investedcapital,netincomeqoqgrowth,0.0688128705329804
ebit,nnep,0.068841175722364
nnep,ebit,0.068841175722364
efftaxrate,quickratio,0.06888044342171888
quickratio,efftaxrate,0.06888044342171888
netincomeqoqgrowth,operatingmargin,0.06888426919699607
operatingmargin,netincomeqoqgrowth,0.06888426919699607
ebittointerestex,evtoebitda,0.06895494499495185
evtoebitda,ebittointerestex,0.06895494499495185
faturnover,epsgrowth,0.06898501095502238
epsgrowth,faturnover,0.06898501095502238
revenueqoqgrowth,fcffgrowth,0.0690427196386503
fcffgrowth,revenueqoqgrowth,0.0690427196386503
opextorevenue,finleverage,0.06928859985689963
finleverage,opextorevenue,0.06928859985689963
faturnover,marketcap,0.06939603285074222
marketcap,faturnover,0.06939603285074222
evtoinvestedcapital,croic,0.06940544381128703
croic,evtoinvestedcapital,0.06940544381128703
investedcapitalgrowth,taxburdenpct,0.06941412521835576
taxburdenpct,investedcapitalgrowth,0.06941412521835576
interestburdenpct,evtorevenue,0.06943816435957273
evtorevenue,interestburdenpct,0.06943816435957273
assetturnover,epsqoqgrowth,0.06943966789748902
epsqoqgrowth,assetturnover,0.06943966789748902
quickratio,taxburdenpct,0.06947434878857767
taxburdenpct,quickratio,0.06947434878857767
roicnnepspread,taxburdenpct,0.06947770508653862
taxburdenpct,roicnnepspread,0.06947770508653862
netincomegrowth,profitmargin,0.06972757929243435
profitmargin,netincomegrowth,0.06972757929243435
fcffgrowth,ebitda,0.0698579069844592
ebitda,fcffgrowth,0.0698579069844592
ebitlesscapextointerestex,faturnover,0.06992628144107753
faturnover,ebitlesscapextointerestex,0.06992628144107753
dfcfnwc,ocfgrowth,0.06996466169464056
ocfgrowth,dfcfnwc,0.06996466169464056
ocftointerestex,evtoebitda,0.07001702337391179
evtoebitda,ocftointerestex,0.07001702337391179
ebitdamargin,efftaxrate,0.07005051450701076
efftaxrate,ebitdamargin,0.07005051450701076
dfcfnwc,freecashflow,0.07008805758338292
freecashflow,dfcfnwc,0.07008805758338292
capex,ebitgrowth,0.07010678933249691
ebitgrowth,capex,0.07010678933249691
revenueqoqgrowth,ebitdagrowth,0.07036224677214813
ebitdagrowth,revenueqoqgrowth,0.07036224677214813
assetturnover,nopatgrowth,0.07036807027712821
nopatgrowth,assetturnover,0.07036807027712821
ocfqoqgrowth,evtonopat,0.0704470587774935
evtonopat,ocfqoqgrowth,0.0704470587774935
roic,ocfqoqgrowth,0.07044751480979247
ocfqoqgrowth,roic,0.07044751480979247
ebit,apturnover,0.07044822274239991
apturnover,ebit,0.07044822274239991
assetturnover,revenueqoqgrowth,0.0704573694098705
revenueqoqgrowth,assetturnover,0.0704573694098705
ocftointerestex,adj_close,0.07048804630402919
adj_close,ocftointerestex,0.07048804630402919
depreciationandamortization,ebitgrowth,0.07054515730770239
ebitgrowth,depreciationandamortization,0.07054515730770239
marketcap,ocflesscapextointerestex,0.07054592320971625
ocflesscapextointerestex,marketcap,0.07054592320971625
operatingmargin,quickratio,0.07063591548141436
quickratio,operatingmargin,0.07063591548141436
freecashflow,leverageratio,0.07078238723202478
leverageratio,freecashflow,0.07078238723202478
dpo,ebitqoqgrowth,0.07078251155178382
ebitqoqgrowth,dpo,0.07078251155178382
ebitdagrowth,ebitlesscapextointerestex,0.07081157974547757
ebitlesscapextointerestex,ebitdagrowth,0.07081157974547757
quickratio,depreciationandamortization,0.07084295003001663
depreciationandamortization,quickratio,0.07084295003001663
enterprisevalue,interestburdenpct,0.07099353644600104
interestburdenpct,enterprisevalue,0.07099353644600104
ebitqoqgrowth,currentratio,0.07101356481017215
currentratio,ebitqoqgrowth,0.07101356481017215
dfcfnwctorev,quickratio,0.0710909620532651
quickratio,dfcfnwctorev,0.0710909620532651
pricetobook,epsqoqgrowth,0.07109851503074403
epsqoqgrowth,pricetobook,0.07109851503074403
nopatmargin,capex,0.07114918521045183
capex,nopatmargin,0.07114918521045183
efftaxrate,investedcapitalgrowth,0.0712009644552309
investedcapitalgrowth,efftaxrate,0.0712009644552309
netincomegrowth,invturnover,0.07125268160669522
invturnover,netincomegrowth,0.07125268160669522
revenueqoqgrowth,dio,0.07126010570927938
dio,revenueqoqgrowth,0.07126010570927938
bookvaluepershare,fcffgrowth,0.07131672021834409
fcffgrowth,bookvaluepershare,0.07131672021834409
investedcapitalqoqgrowth,oroa,0.07138647397728823
oroa,investedcapitalqoqgrowth,0.07138647397728823
netincomeqoqgrowth,investedcapitalincreasedecrease,0.07153079375830508
investedcapitalincreasedecrease,netincomeqoqgrowth,0.07153079375830508
opextorevenue,interestburdenpct,0.07195287024320933
interestburdenpct,opextorevenue,0.07195287024320933
evtofcff,tangbookvaluepershare,0.07196787072694322
tangbookvaluepershare,evtofcff,0.07196787072694322
croic,ebitdaqoqgrowth,0.07206497266703084
ebitdaqoqgrowth,croic,0.07206497266703084
earningsyield,adj_close,0.07206708472186632
adj_close,earningsyield,0.07206708472186632
epsqoqgrowth,roic,0.0721149944495822
roic,epsqoqgrowth,0.0721149944495822
pricetorevenue,profitmargin,0.07211545967218713
profitmargin,pricetorevenue,0.07211545967218713
dfcfnwctorev,ebitgrowth,0.0721342248167027
ebitgrowth,dfcfnwctorev,0.0721342248167027
epsqoqgrowth,pricetotangiblebook,0.07214518035870891
pricetotangiblebook,epsqoqgrowth,0.07214518035870891
ebitdagrowth,bookvaluepershare,0.0721478763952152
bookvaluepershare,ebitdagrowth,0.0721478763952152
ebitgrowth,finleverage,0.07225945926547675
finleverage,ebitgrowth,0.07225945926547675
operatingmargin,netnonopobligations,0.07229353320266288
operatingmargin,netdebt,0.07229353320266288
netdebt,operatingmargin,0.07229353320266288
netnonopobligations,operatingmargin,0.07229353320266288
nopatqoqgrowth,evtoocf,0.07229564001669245
evtoocf,nopatqoqgrowth,0.07229564001669245
efftaxrate,costofrevtorevenue,0.07237010953215671
costofrevtorevenue,efftaxrate,0.07237010953215671
ebitgrowth,netdebttoebitda,0.072578801686987
netdebttoebitda,ebitgrowth,0.072578801686987
tangbookvaluepershare,ebitdagrowth,0.07262506359491745
ebitdagrowth,tangbookvaluepershare,0.07262506359491745
rnnoa,dio,0.0726275128732278
dio,rnnoa,0.0726275128732278
currentratio,ebitdagrowth,0.07272426743069973
ebitdagrowth,currentratio,0.07272426743069973
croic,evtofcff,0.07276537376966712
evtofcff,croic,0.07276537376966712
ebitda,fcfftointerestex,0.0728072054836237
fcfftointerestex,ebitda,0.0728072054836237
netincomegrowth,revenueqoqgrowth,0.07282376270483304
revenueqoqgrowth,netincomegrowth,0.07282376270483304
grossmargin,efftaxrate,0.07312768860495346
efftaxrate,grossmargin,0.07312768860495346
ocfqoqgrowth,totalcapital,0.07313614086580984
totalcapital,ocfqoqgrowth,0.07313614086580984
costofrevtorevenue,taxburdenpct,0.0731593016722752
taxburdenpct,costofrevtorevenue,0.0731593016722752
ebitdagrowth,totalcapital,0.07321068437971154
totalcapital,ebitdagrowth,0.07321068437971154
fcffgrowth,depreciationandamortization,0.07325358517509305
depreciationandamortization,fcffgrowth,0.07325358517509305
altmanzscore,augmentedpayoutratio,0.07331725351124072
augmentedpayoutratio,altmanzscore,0.07331725351124072
epsqoqgrowth,quickratio,0.07338966917524961
quickratio,epsqoqgrowth,0.07338966917524961
ocfqoqgrowth,apturnover,0.0733955497607922
apturnover,ocfqoqgrowth,0.0733955497607922
nopatqoqgrowth,investedcapitalturnover,0.07352716353067541
investedcapitalturnover,nopatqoqgrowth,0.07352716353067541
fcffgrowth,tangbookvaluepershare,0.07364338668770541
tangbookvaluepershare,fcffgrowth,0.07364338668770541
nopatqoqgrowth,dio,0.07386161999533093
dio,nopatqoqgrowth,0.07386161999533093
taxburdenpct,grossmargin,0.0739321118145777
grossmargin,taxburdenpct,0.0739321118145777
ebitmargin,debttototalcapital,0.0741181603387767
ltdebttocap,ebitmargin,0.0741181603387767
debttototalcapital,ebitmargin,0.0741181603387767
ebitmargin,ltdebttocap,0.0741181603387767
epsgrowth,roic,0.07413238916735661
roic,epsgrowth,0.07413238916735661
debttoebitda,evtoebit,0.07414650608123045
evtoebit,ltdebttoebitda,0.07414650608123045
ltdebttoebitda,evtoebit,0.07414650608123045
evtoebit,debttoebitda,0.07414650608123045
netincomegrowth,pretaxincomemargin,0.07415511736039965
pretaxincomemargin,netincomegrowth,0.07415511736039965
debttonopat,nopatmargin,0.07421987235752774
ltdebttonopat,nopatmargin,0.07421987235752774
nopatmargin,ltdebttonopat,0.07421987235752774
nopatmargin,debttonopat,0.07421987235752774
evtoebit,ocftointerestex,0.07423256961222084
ocftointerestex,evtoebit,0.07423256961222084
costofrevtorevenue,debttonopat,0.07439672741772499
ltdebttonopat,costofrevtorevenue,0.07439672741772499
debttonopat,costofrevtorevenue,0.07439672741772499
costofrevtorevenue,ltdebttonopat,0.07439672741772499
arturnover,ocftointerestex,0.0744009293063459
ocftointerestex,arturnover,0.0744009293063459
grossmargin,ltdebttonopat,0.07440844292014538
debttonopat,grossmargin,0.07440844292014538
grossmargin,debttonopat,0.07440844292014538
ltdebttonopat,grossmargin,0.07440844292014538
ebitqoqgrowth,apturnover,0.07440863923798678
apturnover,ebitqoqgrowth,0.07440863923798678
roa,investedcapitalqoqgrowth,0.07444628968256548
investedcapitalqoqgrowth,roa,0.07444628968256548
marketcap,roce,0.07446280355945961
marketcap,roe,0.07446280355945961
roce,marketcap,0.07446280355945961
roe,marketcap,0.07446280355945961
freecashflow,netincomeqoqgrowth,0.07448833584961087
netincomeqoqgrowth,freecashflow,0.07448833584961087
evtonopat,investedcapitalqoqgrowth,0.07451660255970681
investedcapitalqoqgrowth,evtonopat,0.07451660255970681
ebitdaqoqgrowth,costofrevtorevenue,0.0745418570691764
costofrevtorevenue,ebitdaqoqgrowth,0.0745418570691764
epsqoqgrowth,investedcapital,0.07464480169559055
investedcapital,epsqoqgrowth,0.07464480169559055
sgaextorevenue,epsqoqgrowth,0.07466827459558913
epsqoqgrowth,sgaextorevenue,0.07466827459558913
epsqoqgrowth,faturnover,0.07474440809639264
faturnover,epsqoqgrowth,0.07474440809639264
evtofcff,bookvaluepershare,0.07483532208783675
bookvaluepershare,evtofcff,0.07483532208783675
investedcapitalqoqgrowth,epsgrowth,0.07506058948359852
epsgrowth,investedcapitalqoqgrowth,0.07506058948359852
croic,ocflesscapextointerestex,0.07507131135192872
ocflesscapextointerestex,croic,0.07507131135192872
epsgrowth,nopattointerestex,0.07509224305763222
nopattointerestex,epsgrowth,0.07509224305763222
ocflesscapextointerestex,assetturnover,0.07514134805249108
assetturnover,ocflesscapextointerestex,0.07514134805249108
faturnover,netincomeqoqgrowth,0.07521622604046721
netincomeqoqgrowth,faturnover,0.07521622604046721
bookvaluepershare,ocfgrowth,0.07528481255734028
ocfgrowth,bookvaluepershare,0.07528481255734028
revenueqoqgrowth,depreciationandamortization,0.07528554761579356
depreciationandamortization,revenueqoqgrowth,0.07528554761579356
epsgrowth,assetturnover,0.07529641766174726
assetturnover,epsgrowth,0.07529641766174726
fcffqoqgrowth,ocfqoqgrowth,0.07533360792850342
ocfqoqgrowth,fcffqoqgrowth,0.07533360792850342
ocfgrowth,faturnover,0.07534478975603813
faturnover,ocfgrowth,0.07534478975603813
ocfqoqgrowth,altmanzscore,0.07535512280752953
altmanzscore,ocfqoqgrowth,0.07535512280752953
altmanzscore,ltdebttonopat,0.07536823600363952
debttonopat,altmanzscore,0.07536823600363952
ltdebttonopat,altmanzscore,0.07536823600363952
altmanzscore,debttonopat,0.07536823600363952
ebitgrowth,compoundleveragefactor,0.07545552696523246
compoundleveragefactor,ebitgrowth,0.07545552696523246
sgaextorevenue,nopatqoqgrowth,0.07552221141876622
nopatqoqgrowth,sgaextorevenue,0.07552221141876622
epsgrowth,ebittointerestex,0.07553730862868217
ebittointerestex,epsgrowth,0.07553730862868217
invturnover,nopatgrowth,0.0755580597939998
nopatgrowth,invturnover,0.0755580597939998
pretaxincomemargin,currentratio,0.07560397452746659
currentratio,pretaxincomemargin,0.07560397452746659
assetturnover,rnnoa,0.0756045362080039
rnnoa,assetturnover,0.0756045362080039
netincomegrowth,nwctorev,0.07568279932054546
nwctorev,netincomegrowth,0.07568279932054546
netincomegrowth,dfnwctorev,0.07568279932054546
dfnwctorev,netincomegrowth,0.07568279932054546
grossmargin,ebitdaqoqgrowth,0.07568814962047495
ebitdaqoqgrowth,grossmargin,0.07568814962047495
nopatqoqgrowth,investedcapital,0.07586054828069298
investedcapital,nopatqoqgrowth,0.07586054828069298
ebitlesscapextointerestex,sgaextorevenue,0.07611361020858798
sgaextorevenue,ebitlesscapextointerestex,0.07611361020858798
tangbookvaluepershare,ocfgrowth,0.07612617069023217
ocfgrowth,tangbookvaluepershare,0.07612617069023217
nopatqoqgrowth,assetturnover,0.07617137115440799
assetturnover,nopatqoqgrowth,0.07617137115440799
nnep,nopatlesscapextointex,0.07618729954020242
nopatlesscapextointex,nnep,0.07618729954020242
currentratio,profitmargin,0.076237460218677
profitmargin,currentratio,0.076237460218677
fcffgrowth,normalizednopat,0.07631458078391985
normalizednopat,fcffgrowth,0.07631458078391985
evtoocf,investedcapitalincreasedecrease,0.07641626442069847
investedcapitalincreasedecrease,evtoocf,0.07641626442069847
nopatlesscapextointex,ebitdagrowth,0.07659783334268086
ebitdagrowth,nopatlesscapextointex,0.07659783334268086
dpo,epsqoqgrowth,0.07660158666629228
epsqoqgrowth,dpo,0.07660158666629228
ebitdaqoqgrowth,opextorevenue,0.07660548698538827
opextorevenue,ebitdaqoqgrowth,0.07660548698538827
netnonopex,costofrevtorevenue,0.07672428998358848
costofrevtorevenue,netnonopex,0.07672428998358848
ebitdaqoqgrowth,augmentedpayoutratio,0.07685018286412128
augmentedpayoutratio,ebitdaqoqgrowth,0.07685018286412128
operatingmargin,netincomegrowth,0.07708085387206028
netincomegrowth,operatingmargin,0.07708085387206028
grossmargin,netnonopex,0.07712329196307759
netnonopex,grossmargin,0.07712329196307759
investedcapitalqoqgrowth,compoundleveragefactor,0.07736972790929737
compoundleveragefactor,investedcapitalqoqgrowth,0.07736972790929737
depreciationandamortization,netincomegrowth,0.07742125605632424
netincomegrowth,depreciationandamortization,0.07742125605632424
pricetorevenue,debttonopat,0.0774340719340193
debttonopat,pricetorevenue,0.0774340719340193
pricetorevenue,ltdebttonopat,0.0774340719340193
ltdebttonopat,pricetorevenue,0.0774340719340193
currentratio,normalizednopatmargin,0.07757916546872397
normalizednopatmargin,currentratio,0.07757916546872397
evtoebitda,netdebttonopat,0.07763233569878358
netdebttonopat,evtoebitda,0.07763233569878358
evtonopat,capex,0.07775470320948578
capex,evtonopat,0.07775470320948578
investedcapitalincreasedecrease,pricetobook,0.07777607907101088
pricetobook,investedcapitalincreasedecrease,0.07777607907101088
fcfftointerestex,ebitdaqoqgrowth,0.0777897750800029
ebitdaqoqgrowth,fcfftointerestex,0.0777897750800029
ebitgrowth,investedcapital,0.07791653049698516
investedcapital,ebitgrowth,0.07791653049698516
evtoebitda,normalizednopat,0.07796204808120452
normalizednopat,evtoebitda,0.07796204808120452
ocfqoqgrowth,arturnover,0.07798628368362948
arturnover,ocfqoqgrowth,0.07798628368362948
nnep,rnnoa,0.07801406359435206
rnnoa,nnep,0.07801406359435206
evtoocf,pretaxincomemargin,0.07804983603440427
pretaxincomemargin,evtoocf,0.07804983603440427
nnep,fcfftointerestex,0.07805243095831313
fcfftointerestex,nnep,0.07805243095831313
debttototalcapital,operatingmargin,0.07809261055933969
operatingmargin,debttototalcapital,0.07809261055933969
operatingmargin,ltdebttocap,0.07809261055933969
ltdebttocap,operatingmargin,0.07809261055933969
taxburdenpct,ebitdamargin,0.078124875151087
ebitdamargin,taxburdenpct,0.078124875151087
dfnwctorev,evtoocf,0.07846561534169505
evtoocf,dfnwctorev,0.07846561534169505
evtoocf,nwctorev,0.07846561534169505
nwctorev,evtoocf,0.07846561534169505
fcfftointerestex,bookvaluepershare,0.0784865637090071
bookvaluepershare,fcfftointerestex,0.0784865637090071
nopatgrowth,profitmargin,0.07862464107788021
profitmargin,nopatgrowth,0.07862464107788021
debttonopat,evtoocf,0.0786601317400226
ltdebttonopat,evtoocf,0.0786601317400226
evtoocf,debttonopat,0.0786601317400226
evtoocf,ltdebttonopat,0.0786601317400226
netdebt,ebitdamargin,0.07866073013457274
ebitdamargin,netnonopobligations,0.07866073013457274
netnonopobligations,ebitdamargin,0.07866073013457274
ebitdamargin,netdebt,0.07866073013457274
netincomegrowth,ebitmargin,0.07867843333808261
ebitmargin,netincomegrowth,0.07867843333808261
investedcapitalincreasedecrease,pricetotangiblebook,0.07879453262164123
pricetotangiblebook,investedcapitalincreasedecrease,0.07879453262164123
pricetoearnings,sgaextorevenue,0.07883346437782576
sgaextorevenue,pricetoearnings,0.07883346437782576
nopatmargin,nopatgrowth,0.07892832767380013
nopatgrowth,nopatmargin,0.07892832767380013
dfcfnwctorev,netincomegrowth,0.07897314915715666
netincomegrowth,dfcfnwctorev,0.07897314915715666
nopatqoqgrowth,quickratio,0.07905729156915532
quickratio,nopatqoqgrowth,0.07905729156915532
roa,fcffqoqgrowth,0.07907562452139132
fcffqoqgrowth,roa,0.07907562452139132
ebitdagrowth,investedcapital,0.07913096028579703
investedcapital,ebitdagrowth,0.07913096028579703
tangbookvaluepershare,fcfftointerestex,0.07913238529105777
fcfftointerestex,tangbookvaluepershare,0.07913238529105777
roicnnepspread,ebittointerestex,0.0791601644412466
ebittointerestex,roicnnepspread,0.0791601644412466
evtofcff,ebitgrowth,0.07916839270269707
ebitgrowth,evtofcff,0.07916839270269707
ebitgrowth,rnnoa,0.07928156978779113
rnnoa,ebitgrowth,0.07928156978779113
profitmargin,evtoocf,0.07933278904526968
evtoocf,profitmargin,0.07933278904526968
netincomeqoqgrowth,pricetorevenue,0.07940426116163937
pricetorevenue,netincomeqoqgrowth,0.07940426116163937
nopat,netnonopex,0.07940889576696805
netnonopex,nopat,0.07940889576696805
dio,marketcap,0.07950265203520118
marketcap,dio,0.07950265203520118
dpo,netincomeqoqgrowth,0.07960914832122208
netincomeqoqgrowth,dpo,0.07960914832122208
evtoebitda,debttoequity,0.07972521147225102
ltdebttoequity,evtoebitda,0.07972521147225102
debttoequity,evtoebitda,0.07972521147225102
evtoebitda,ltdebttoequity,0.07972521147225102
ltdebttoebitda,epsgrowth,0.07978120334187831
debttoebitda,epsgrowth,0.07978120334187831
epsgrowth,ltdebttoebitda,0.07978120334187831
epsgrowth,debttoebitda,0.07978120334187831
totalcapital,netincomegrowth,0.07978370511920548
netincomegrowth,totalcapital,0.07978370511920548
epsgrowth,invturnover,0.08008321110488498
invturnover,epsgrowth,0.08008321110488498
epsqoqgrowth,fcffqoqgrowth,0.08012460749938234
fcffqoqgrowth,epsqoqgrowth,0.08012460749938234
nopatlesscapextointex,nopat,0.08023780606829958
nopat,nopatlesscapextointex,0.08023780606829958
roicnnepspread,epsqoqgrowth,0.08036676960338489
epsqoqgrowth,roicnnepspread,0.08036676960338489
ltdebttoebitda,nopatgrowth,0.0803688827873116
nopatgrowth,debttoebitda,0.0803688827873116
nopatgrowth,ltdebttoebitda,0.0803688827873116
debttoebitda,nopatgrowth,0.0803688827873116
epsgrowth,dfnwctorev,0.08046906815742422
epsgrowth,nwctorev,0.08046906815742422
dfnwctorev,epsgrowth,0.08046906815742422
nwctorev,epsgrowth,0.08046906815742422
roe,nopatgrowth,0.08051251155045665
roce,nopatgrowth,0.08051251155045665
nopatgrowth,roce,0.08051251155045665
nopatgrowth,roe,0.08051251155045665
altmanzscore,ltdebttoebitda,0.08080057447199657
debttoebitda,altmanzscore,0.08080057447199657
ltdebttoebitda,altmanzscore,0.08080057447199657
altmanzscore,debttoebitda,0.08080057447199657
quickratio,netincomeqoqgrowth,0.0808043308980395
netincomeqoqgrowth,quickratio,0.0808043308980395
nopattointerestex,roicnnepspread,0.08122669728266392
roicnnepspread,nopattointerestex,0.08122669728266392
ebitlesscapextointerestex,compoundleveragefactor,0.08127625475958208
compoundleveragefactor,ebitlesscapextointerestex,0.08127625475958208
invturnover,ebitdagrowth,0.08130119920821205
ebitdagrowth,invturnover,0.08130119920821205
efftaxrate,ebitdagrowth,0.08130906967864675
ebitdagrowth,efftaxrate,0.08130906967864675
compoundleveragefactor,adj_close,0.08131961404982126
adj_close,compoundleveragefactor,0.08131961404982126
dio,ocfgrowth,0.08144075746560607
ocfgrowth,dio,0.08144075746560607
investedcapitalincreasedecrease,debt,0.0814823928743386
ltdebtandcapleases,investedcapitalincreasedecrease,0.0814823928743386
investedcapitalincreasedecrease,ltdebtandcapleases,0.0814823928743386
debt,investedcapitalincreasedecrease,0.0814823928743386
ebitlesscapextointerestex,nnep,0.08149425636421515
nnep,ebitlesscapextointerestex,0.08149425636421515
ebitdaqoqgrowth,dso,0.08150223958112633
dso,ebitdaqoqgrowth,0.08150223958112633
efftaxrate,oroa,0.08152332428029604
oroa,efftaxrate,0.08152332428029604
evtoebit,netnonopex,0.08174619858677341
netnonopex,evtoebit,0.08174619858677341
netincomeqoqgrowth,dfcfnwc,0.08187040100963776
dfcfnwc,netincomeqoqgrowth,0.08187040100963776
rnnoa,nopatmargin,0.0819939808223909
nopatmargin,rnnoa,0.0819939808223909
pricetotangiblebook,fcfftointerestex,0.08200039635063112
fcfftointerestex,pricetotangiblebook,0.08200039635063112
currentratio,ebitda,0.08205578209973549
ebitda,currentratio,0.08205578209973549
ebitdamargin,netdebttoebitda,0.08216326475427951
netdebttoebitda,ebitdamargin,0.08216326475427951
commontocap,earningsyield,0.08224337608302085
earningsyield,commontocap,0.08224337608302085
ebitgrowth,costofrevtorevenue,0.08226905829057447
costofrevtorevenue,ebitgrowth,0.08226905829057447
normalizednopat,evtonopat,0.0823040168018275
evtonopat,normalizednopat,0.0823040168018275
opextorevenue,epsqoqgrowth,0.08230467983983256
epsqoqgrowth,opextorevenue,0.08230467983983256
netincomegrowth,dio,0.08241353786725474
dio,netincomegrowth,0.08241353786725474
ebitlesscapextointerestex,adj_close,0.08243091187065305
adj_close,ebitlesscapextointerestex,0.08243091187065305
earningsyield,currentratio,0.08244674953744308
currentratio,earningsyield,0.08244674953744308
ebitdagrowth,sgaextorevenue,0.0825566858530508
sgaextorevenue,ebitdagrowth,0.0825566858530508
ebitlesscapextointerestex,evtonopat,0.08257001072525054
evtonopat,ebitlesscapextointerestex,0.08257001072525054
ocfqoqgrowth,nopatmargin,0.08260847752512455
nopatmargin,ocfqoqgrowth,0.08260847752512455
pretaxincomemargin,nopatgrowth,0.08262027028664953
nopatgrowth,pretaxincomemargin,0.08262027028664953
nopatqoqgrowth,faturnover,0.08268838410383957
faturnover,nopatqoqgrowth,0.08268838410383957
ebitgrowth,grossmargin,0.08273056646237602
grossmargin,ebitgrowth,0.08273056646237602
investedcapitalqoqgrowth,dio,0.08275384105581532
dio,investedcapitalqoqgrowth,0.08275384105581532
ltdebttoebitda,pricetorevenue,0.0827662276175578
pricetorevenue,debttoebitda,0.0827662276175578
pricetorevenue,ltdebttoebitda,0.0827662276175578
debttoebitda,pricetorevenue,0.0827662276175578
quickratio,ebitqoqgrowth,0.08277027092180629
ebitqoqgrowth,quickratio,0.08277027092180629
dso,netnonopex,0.08281440478367587
netnonopex,dso,0.08281440478367587
fcfftointerestex,ebitmargin,0.08289595705835884
ebitmargin,fcfftointerestex,0.08289595705835884
invturnover,ocfqoqgrowth,0.08290409917208144
ocfqoqgrowth,invturnover,0.08290409917208144
pricetobook,fcfftointerestex,0.0829172675236059
fcfftointerestex,pricetobook,0.0829172675236059
evtoocf,croic,0.08294109474927742
croic,evtoocf,0.08294109474927742
ebitqoqgrowth,marketcap,0.0829524754470738
marketcap,ebitqoqgrowth,0.0829524754470738
dio,ebitdagrowth,0.08295953123237881
ebitdagrowth,dio,0.08295953123237881
nopat,fcffqoqgrowth,0.08309420440003772
fcffqoqgrowth,nopat,0.08309420440003772
nopat,ebitlesscapextointerestex,0.08321154042619061
ebitlesscapextointerestex,nopat,0.08321154042619061
faturnover,nopatlesscapextointex,0.08326117115593691
nopatlesscapextointex,faturnover,0.08326117115593691
quickratio,fcffqoqgrowth,0.08333870356227713
fcffqoqgrowth,quickratio,0.08333870356227713
ebitda,investedcapitalincreasedecrease,0.08337800739132108
investedcapitalincreasedecrease,ebitda,0.08337800739132108
dfnwc,pricetobook,0.08342335079514059
nwc,pricetobook,0.08342335079514059
pricetobook,dfnwc,0.08342335079514059
pricetobook,nwc,0.08342335079514059
nopatmargin,sgaextorevenue,0.08349461444269214
sgaextorevenue,nopatmargin,0.08349461444269214
evtonopat,fcfftointerestex,0.08355472105715431
fcfftointerestex,evtonopat,0.08355472105715431
costofrevtorevenue,debttoebitda,0.08359412299254267
costofrevtorevenue,ltdebttoebitda,0.08359412299254267
debttoebitda,costofrevtorevenue,0.08359412299254267
ltdebttoebitda,costofrevtorevenue,0.08359412299254267
grossmargin,ltdebttoebitda,0.08365097339721483
debttoebitda,grossmargin,0.08365097339721483
grossmargin,debttoebitda,0.08365097339721483
ltdebttoebitda,grossmargin,0.08365097339721483
