year,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment,adj_close
2009,0.01,0.01,0.01,1.0,0.01,0.7345997235608352,1.0,0.01,0.7345997235608352,1.0,0.01,1.0,0.01,0.01,0.7539128340958343,0.01,0.42410711714763916,1.0000000000000002,0.9999999999999998,0.9960257882098734,1.0,0.7150048098872469,0.01,0.0
2010,0.07927000467945719,0.01,0.11851280007968923,0.38172951885565676,0.01,0.9491015727147073,0.16542683244030587,0.045006970430699234,0.9491015727147073,0.16542683244030587,0.0475089280487091,0.01,0.3113256865217258,0.3113256865217258,0.19841078738261508,0.7325631151048353,0.4464285467155601,0.3728060247386149,0.8318169865895344,0.9955842091230629,1.0,0.17579811610456567,0.01,0.52899936265137
2011,0.11333645297145531,0.01,0.24793306106185875,0.01,0.01,1.0,0.08567861416012068,0.1575317338029203,1.0,0.08567861416012068,0.1597388911656228,0.08618178876259053,0.5698822227005751,0.5698822227005751,0.1825186612087648,0.5934959349593496,0.46428569036989686,0.01,0.401542641774038,1.0,1.0,0.9278507348996288,0.22148672237806186,0.8441682600382392
2012,0.10772110435189519,0.01,0.4290267954975596,0.06690507152145642,0.01,0.9067578168777317,0.0781355667689747,0.26585956416464906,0.9067578168777317,0.0781355667689747,0.26778291669106036,0.12279034019659402,0.5649312709492913,0.5649312709492913,0.01,0.2883428082401125,1.0,0.36229140509839897,0.1381014988167235,1.0,1.0,0.8359471128741017,0.28456212378038653,0.4483747609942641
2013,0.37426298549368275,0.01,0.6197828468971013,0.4562418725617686,0.01,0.8887519145279988,0.19503979607761535,0.3717073886565412,0.8887519145279988,0.19503979607761535,0.3733534336397166,0.4309898466890498,0.24551800485869796,0.24551800485869796,0.9516012521069108,0.22941500091692651,0.12499996093749827,0.4784872115725659,0.01,1.0,1.0,1.0,0.5952217907595083,0.3897386870618227
2014,0.32980814225549837,0.12953367231335067,0.7786632134674768,0.015409622886866092,0.10595016103666681,0.33972131943666184,0.5158143890131612,0.43768434954875635,0.33972131943666184,0.5158143890131612,0.439157543469352,0.4262772541563853,0.44155724345767094,0.44155724345767094,0.5954731519383578,1.0000000000000002,0.01,0.8115393319180356,0.5072486633359627,0.9408284023585549,0.01,0.4239468443195478,0.9999999999999999,1.0
2015,1.0,0.37231679772255216,0.8790218149218049,0.488036410923277,0.44872012204991285,0.08664873547760465,0.2894969567705352,0.836598429818769,0.08664873547760465,0.2894969567705352,0.8370265206955096,0.35008697059180455,0.9928657092776532,0.9928657092776532,0.25331085961955213,0.8471789229170488,0.01,1.0000000000000002,0.5432553247436234,0.5699902852550561,0.04450999999554894,0.01,0.2646275578365879,0.78521351179095
2016,0.5045390734674778,1.0,1.0,0.6390117035110533,0.9999999999999999,0.01,0.01,1.0000000000000002,0.01,0.01,1.0000000000000002,0.031248735892560997,1.0,1.0,1.0,0.2235466715569412,0.01,1.0000000000000002,0.1349285651678498,0.01,0.05013999999498597,0.01,0.34322452966843525,0.6523263224984057
